B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
1.5789483157894735,0.9953388617935531,3.428162418154304,2.866344848627106,3.161851118236253,3.5202640255980366,2.7964119762625055
1.5789483157894735,1.9906777235871063,3.320814635221006,2.846799265934227,3.0517683222800724,3.2844555548358114,2.6819006194138955
1.5789483157894735,2.9860165853806593,3.2037015051040765,2.828100650945429,2.92893131541935,3.129688768054638,2.555518211929481
1.5789483157894735,3.9813554471742125,3.0750317565787264,2.809899719605353,2.7910817200223943,3.0211133806776034,2.4150375086005496
1.5789483157894735,4.976694308967765,2.9322485499202444,2.7918686105294923,2.636000809148805,2.940234428412425,2.2583941802966963
1.5789483157894735,5.972033170761319,2.7716371840141556,2.7737933409582087,2.463123097361734,2.8766258621914194,2.0852653850943703
1.5789483157894735,6.967372032554872,2.587617625583407,2.755542610801103,2.2788791627891745,2.824132346042906,1.9021370313842612
1.5789483157894735,7.962710894348425,2.3714733851163268,2.737038688094636,2.110705315982574,2.7789813290612684,1.7350909481733283
1.5789483157894735,8.958049756141978,2.1091830185312426,2.718238294283084,2.021602467781141,2.7387858182021554,1.6426397407701425
1.5789483157894735,9.95338861793553,1.7797071403620262,2.6991205348100737,2.0639470445435197,2.7019935439289426,1.6749906316992915
1.5789483157894735,10.948727479729083,1.3799603509524045,2.6796791891996277,2.201205886298261,2.667571375953976,1.8016522516237203
1.5789483157894735,11.944066341522637,1.1596331027798883,2.6599176916204366,2.365384941840016,2.6348186783369236,1.9584073274994103
1.5789483157894735,12.93940520331619,1.4280370499286066,2.6398458191615273,2.5219664120859075,2.6032537776385887,2.1101442597828908
1.5789483157894735,13.934744065109744,1.754953379794809,2.6194775037666584,2.6616518596374177,2.572543196502295,2.246445855111614
1.5789483157894735,14.930082926903296,2.0048068062301385,2.5988294072286737,2.7842570768880925,2.542456633666777,2.366462475620886
1.5789483157894735,15.92542178869685,2.1943229525933745,2.5779200302993974,2.8919446302561025,2.512837873857577,2.472019095688785
1.5789483157894735,16.920760650490404,2.342878885306537,2.55676920412432,2.987123142518039,2.4835858103497364,2.565352917091766
1.5789483157894735,17.916099512283957,2.4628709663054806,2.5353978613768753,3.071902183242995,2.4546420461698517,2.6484822934740855
1.5789483157894735,18.91143837407751,2.5621012634004647,2.5138280165005025,3.1480104893073357,2.42598287325917,2.723084344488297
1.5789483157894735,19.90677723587106,2.6456738061960112,2.4920829062916114,3.2168380393813782,2.3976142229988384,2.790517845087448
3.1578956315789473,0.9953388617935531,3.4275081286398916,2.808861575713029,3.163309586662495,3.681651577798876,2.7979300692269002
3.1578956315789473,1.9906777235871063,3.318297216743101,2.7568467362027844,3.055571878980712,3.5096917054300203,2.6858041933472045
3.1578956315789473,2.9860165853806593,3.197775016515762,2.711190812919551,2.93601826435905,3.3730383390967167,2.5627035578559547
3.1578956315789473,3.9813554471742125,3.0635596140912518,2.668977751495446,2.802449909378335,3.261044754519599,2.426436060736307
3.1578956315789473,4.976694308967765,2.9120977214180557,2.6286149952477293,2.6526562774712135,3.1667409646415856,2.274917781436787
3.1578956315789473,5.972033170761319,2.737940538277449,2.589183672859748,2.4856029702082676,3.085495652640137,2.10734176078961
3.1578956315789473,6.967372032554872,2.532260155150354,2.5501424817714753,2.3054539231844697,3.0141726268395113,1.9280367157254896
3.1578956315789473,7.962710894348425,2.2795711042395395,2.5111820713506416,2.1326669416578845,2.950619864045514,1.7567177402530625
3.1578956315789473,8.958049756141978,1.9496021858567878,2.4721496330716413,2.0202576166289044,2.8933552219189997,1.6429222356517639
3.1578956315789473,9.95338861793553,1.4764736759944557,2.433009112525857,2.0292511945206364,2.841367162839628,1.6440472905655303
3.1578956315789473,10.948727479729083,0.8381952392945082,2.393820925036143,2.14637795207401,2.7939838910182564,1.75081270255238
3.1578956315789473,11.944066341522637,1.152308607287111,2.3547330217195657,2.305199080097196,2.7507839256982294,1.901664975202449
3.1578956315789473,12.93940520331619,1.6704059470713988,2.3159786869844075,2.4629922881175714,2.711531964901845,2.054154795734578
3.1578956315789473,13.934744065109744,2.001020181786862,2.27787792014048,2.6058029147520183,2.676130052490785,2.1933027109594994
3.1578956315789473,14.930082926903296,2.23170453456647,2.2408396601314746,2.731761185588277,2.6445777764689846,2.3165123302416175
3.1578956315789473,15.92542178869685,2.4050589653650016,2.2053619313037696,2.842524985167392,2.6169376768326544,2.4250535491699234
3.1578956315789473,16.920760650490404,2.5417791420704994,2.172026563853859,2.940395619695625,2.5933038415024745,2.521027282305405
3.1578956315789473,17.916099512283957,2.6532137297819234,2.141484851272778,3.027498595015779,2.573773091578819,2.6064519876579135
3.1578956315789473,18.91143837407751,2.7462062662077176,2.1144308536356777,3.105610535925254,2.558419265965545,2.6830438821359692
3.1578956315789473,19.90677723587106,2.8251867128631867,2.091560595275599,3.176171854818327,2.5472718427287915,2.7522071273690973
1e-06,0.9953388617935531,3.430633536798371,3.0455173070498867,3.156849831998567,3.0457565651884426,2.7912121853774137
1e-06,1.9906777235871063,3.327681680701013,3.0457474109384135,3.04216989859809,3.0457568659605663,2.672065548850122
1e-06,2.9860165853806593,3.217388167607266,3.045734263920401,2.9137493362094173,3.0457569370153643,2.5401558566714453
1e-06,3.9813554471742125,3.0988767527194825,3.0457572804502178,2.769148529702292,3.045756995085573,2.393097048468337
1e-06,4.976694308967765,2.9710503297732656,3.0457104476620356,2.606259428737899,3.04575701118408,2.22896584177087
1e-06,5.972033170761319,,,,,
1e-06,6.967372032554872,2.68187532763948,3.045757231769025,2.2388950980583835,3.0457570100118923,1.8631654271822606
1e-06,7.962710894348425,2.517540683063606,3.0457570923712907,2.085683636848189,3.0457570174406516,1.709881556685567
1e-06,8.958049756141978,2.339241449483065,3.0456402632075923,2.038553151581906,3.045757004506961,1.655993273671588
1e-06,9.95338861793553,2.150824182210407,3.045757208476718,2.1239658322542847,3.0457570040545634,1.7294108665911807
4.73684294736842,0.9953388617935531,3.4272065606681155,2.7801340688109604,3.1640099767225296,3.745447534719572,2.798659712370779
4.73684294736842,1.9906777235871063,3.316984574494503,2.7049887201797875,3.0576225261151055,3.614014040375894,2.6879109219383612
4.73684294736842,2.9860165853806593,3.194434671486583,2.6372501827686543,2.9401440698640577,3.5034527637230855,2.566891758125628
4.73684294736842,3.9813554471742125,3.0567253856718244,2.573937425267553,2.8094417793892577,3.4089280437520517,2.433456873903479
4.73684294736842,4.976694308967765,2.899560083241398,2.5133209565320422,2.663351172262595,3.326993787275446,2.285546348977289
4.73684294736842,5.972033170761319,2.716167536782421,2.4544356298338976,2.500630916229285,3.255216528426309,2.1221274442702094
4.73684294736842,6.967372032554872,2.495135848344022,2.396843793001744,2.324214804716602,3.19188448442631,1.9463391500893787
4.73684294736842,7.962710894348425,2.2152238865466707,2.3405257514367483,2.150368391147138,3.135801013086587,1.7740290356406703
4.73684294736842,8.958049756141978,1.8308107175811346,2.2858378682067233,2.024365770829374,3.0861389384840514,1.647773487916695
4.73684294736842,9.95338861793553,1.229965131885279,2.2335035628047195,2.008636933537386,3.0423354619121867,1.6259547166494646
4.73684294736842,10.948727479729083,0.7608123921091565,2.1846090372712013,2.1070525811511245,3.0040135157047816,1.7145997138464741
4.73684294736842,11.944066341522637,1.453555624081198,2.1405732426527817,2.2589178788830697,2.970920556408196,1.8582237690837546
4.73684294736842,12.93940520331619,1.9016953281079043,2.1030583283958824,2.416108612129288,2.9428795061253683,2.009776192988121
4.73684294736842,13.934744065109744,2.190488142592357,2.073793336188446,2.5605209547186605,2.9197491005138207,2.15030811131953
4.73684294736842,14.930082926903296,2.3981983915547627,2.0543116635877086,2.6885901571262703,2.9013925424918825,2.2755056567358993
4.73684294736842,15.92542178869685,2.557854753831738,2.0456522815811113,2.801404774295536,2.8876542445534183,2.3860329443229737
4.73684294736842,16.920760650490404,2.6859079627764957,2.048121191364805,2.901105180376249,2.8783446826518304,2.4838063623818343
4.73684294736842,17.916099512283957,2.791660394839934,2.0612109801707055,2.9897938588917423,2.8732331276008116,2.5708078222299457
4.73684294736842,18.91143837407751,2.880867146623345,2.0837139842804366,3.0692673428274624,2.872047473788139,2.6487657476266198
4.73684294736842,19.90677723587106,2.957331180332811,2.113976162138495,3.140996126986873,2.8744797932512056,2.7191098913557266
1e-06,10.948727479729083,1.9678777346393586,3.045757197601496,2.2795560466321647,3.0457569949587135,1.8749462433027992
1e-06,11.944066341522637,1.8289212374679775,3.0457567928107423,2.4449562591177925,3.0457569847716703,2.0338638347243108
1e-06,12.93940520331619,1.7849857094188675,3.0457573623032337,2.5968111026361127,3.0457571644866013,2.1815075519393243
1e-06,13.934744065109744,1.8436727805615074,3.0457569709693733,2.730609617354076,3.045756961989593,2.3123003943553457
1e-06,14.930082926903296,1.9582550684589144,3.0457571385426663,2.847648131341474,3.04575694970086,2.4269834737984786
1e-06,15.92542178869685,2.084860080255321,3.0457569647209524,2.950432517673197,3.045756936957441,2.5277912717774362
1e-06,16.920760650490404,,,,,
1e-06,17.916099512283957,,,,,
1e-06,18.91143837407751,2.4017794475699135,3.0453702445086064,3.195413236480115,3.0457569048622823,2.768034334827327
1e-06,19.90677723587106,2.482302758774744,3.045757092165386,3.261451642793034,3.0457568826769403,2.832736653345325
6.315790263157894,0.9953388617935531,3.427033145865323,2.762868831026637,3.1644217544364897,3.7794097407848,2.7990892170771504
6.315790263157894,1.9906777235871063,3.316177875725167,2.6711680114712064,3.0589065750035846,3.672951084759356,2.6892314435016234
6.315790263157894,2.9860165853806593,3.1922850349770067,2.5861009503192007,2.942848078265386,3.581113335978286,2.5696395406427444
6.315790263157894,3.9813554471742125,3.052171139307839,2.5053358131838572,2.814184897749351,3.5012089572365914,2.438225195201922
6.315790263157894,4.976694308967765,2.8909625649468156,2.4276378150832314,2.670811843756972,3.4312427763750764,2.292970730673971
6.315790263157894,5.972033170761319,2.7008495740771683,2.3526426694972513,2.5113933410224423,3.369759990982195,2.1327321728444204
6.315790263157894,6.967372032554872,2.4683448400779895,2.280790502452951,2.338123441304855,3.3157086330444057,1.9599235455640196
6.315790263157894,7.962710894348425,2.167445828230812,2.2133420959103707,2.1645549977144243,3.268331577651855,1.7878675235920225
6.315790263157894,8.958049756141978,1.7396559097031994,2.152393422399332,2.0301955616005425,3.2270826691133823,1.6539359003818113
6.315790263157894,9.95338861793553,1.0559154267360136,2.100772431590739,1.9961030445722017,3.1915609792447133,1.6151512510124428
6.315790263157894,10.948727479729083,1.0205502212205226,2.0616821873467055,2.0780936602411746,3.1614587957704905,1.6880871675328568
6.315790263157894,11.944066341522637,1.6687973091384145,2.038023517518311,2.2225799055739364,3.136520602672127,1.824241755859606
6.315790263157894,12.93940520331619,2.0593919466720636,2.0315442345157875,2.3782005136173736,3.1165115577039284,1.973982249377547
6.315790263157894,13.934744065109744,2.3216888457769693,2.0422077221806,2.5233076912081116,3.101194679069573,2.1150357744338666
6.315790263157894,14.930082926903296,2.515306569065306,2.06816287165326,2.652723595425317,3.090316162641531,2.2414809608779462
6.315790263157894,15.92542178869685,2.666731038585605,2.1063291641289292,2.766952149378924,3.083598090962708,2.353372292135949
6.315790263157894,16.920760650490404,2.78972958409367,2.153227387480433,2.8679468331547007,3.080737445839486,2.45242034509415
6.315790263157894,17.916099512283957,2.892323475457557,2.2056505807824998,2.9577649970661577,3.0814099863285147,2.540550451761062
6.315790263157894,18.91143837407751,2.9795839227463556,2.2610071400286027,3.038206110473903,3.0852773500664745,2.619487276846189
6.315790263157894,19.90677723587106,3.0549173424976273,2.317387731312033,3.110757981374864,3.091995749133798,2.690673918293482
7.894737578947368,0.9953388617935531,3.426920530129781,2.751342629288074,3.164692796002689,3.8004643548192463,2.7993723692499133
7.894737578947368,1.9906777235871063,3.3156316289604244,2.6473507430823027,3.0597864026824797,3.7106566145807456,2.690137232690043
7.894737578947368,2.9860165853806593,3.190784120685097,2.5485786946481035,2.9447582068819806,3.632175195493847,2.5715824801749343
