sigma,B,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
0.05263157894736842,15.789474157894736,1.7332859958946192,2.1172838614883087,1.9940649881288424,3.5602305670675345,1.6151272969822696
0.05263157894736842,17.36842147368421,1.7355607147865266,2.147059148450081,1.989519555138096,3.58735931023183,1.6112315793548957
0.05263157894736842,18.947368789473682,1.7375189625329521,2.1744635629360927,1.9862443010201647,3.6104188308549836,1.6084679572240126
0.05263157894736842,20.526316105263156,1.7392223711241386,2.1993750222726907,1.9838964175097493,3.6302571467733764,1.6065271567809156
0.05263157894736842,22.10526342105263,1.7407175678445392,2.221905743043296,1.982233013622567,3.6475028269774032,1.605190747074153
0.05263157894736842,23.684210736842104,1.7420404739692106,2.242259146145677,1.981079554065602,3.6626313907242602,1.6043022427441411
0.05263157894736842,25.263158052631578,1.743219207234671,2.26066271970754,1.9803089954250206,3.676009072261225,1.6037480748602233
0.05263157894736842,26.842105368421052,1.7442760895268699,2.2773378027874105,1.9798277718164823,3.6879224293731854,1.6034448498495282
0.05263157894736842,28.421052684210526,1.7452290656138638,2.292487205740695,1.9795662363813458,3.6985988461934447,1.6033306831496865
0.05263157894736842,30.0,1.7460927249365137,2.3062913333819197,1.979472046910354,3.708221028929333,1.6033592164744048
0.0,15.789474157894736,1.7636354941472387,2.1189305292449676,1.9956946014852888,3.560278260672401,1.6165932259094862
0.0,17.36842147368421,1.7636354941472387,2.1487380663844067,1.9907808601947194,3.5874109195911594,1.6123620821384705
0.0,18.947368789473682,1.7636354941472383,2.176138544128649,1.9872186874020104,3.6104727724832335,1.6093375044882714
0.0,20.526316105263156,1.7636354941472383,2.201024675323566,1.9846449772658903,3.6303123496444023,1.6071915331278872
0.0,22.10526342105263,1.7636354941472379,2.2235178397437636,1.9828021493882912,3.647558557323169,1.6056922587123785
0.0,23.684210736842104,1.7636354941472387,2.2438271127162,1.9815049114666174,3.662687141725507,1.6046733505419957
0.0,25.263158052631578,1.7636354941472383,2.2621834699269043,1.9806182497492937,3.676064492703155,1.6040139588776998
0.0,26.842105368421052,1.7636354941472367,2.278810396302246,1.9800426250586713,3.687977276413423,1.60362524166758
0.0,28.421052684210526,1.763635494147238,2.2939120115205642,1.9797038647678458,3.6986529534517896,1.603441190903621
0.0,30.0,1.763635494147238,2.307669504085972,1.9795461619357189,3.7082742845437933,1.6034122943337252
0.05263157894736842,1e-06,1.609843528307747,3.04575721690335,2.551716153162069,3.045757016666853,2.130525976936106
0.05263157894736842,1.5789483157894735,1.653552821871072,2.6971305318039245,2.3593189916019686,2.6993872870603877,1.94951082387084
0.05263157894736842,3.1578956315789473,1.6781581747044998,2.4208608311294317,2.2355038315047335,2.834690216340858,1.8342279044844585
0.05263157894736842,4.73684294736842,1.6938644405741041,2.215863791090667,2.1544125571489503,3.0380894940506504,1.7595110768844324
0.05263157894736842,6.315790263157894,1.7047346152995781,2.086319181744792,2.100461783982654,3.189293708482602,1.7102684542422584
0.05263157894736842,7.894737578947368,1.7126939350398025,2.0250716887242333,2.0639875570451394,3.2979142183774286,1.677255884199722
0.05263157894736842,9.47368489473684,1.7187688047392098,2.01238636357508,2.0389360448066447,3.3783580611989334,1.654757013427962
0.05263157894736842,11.052632210526314,1.7235552496003832,2.027121309041717,2.0214772775193324,3.439984429844552,1.63919566535459
0.05263157894736842,12.631579526315788,1.7274225844488562,2.0543743120181084,2.009155787594495,3.4885900627901427,1.6282998022525919
0.05263157894736842,14.210526842105262,1.7306116245445093,2.0857919727538015,2.0003718630571385,3.5278614063632703,1.6205998769237275
