B,sigma,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
1.5789483157894735,0.5263157894736842,1.0116431912458899,2.698416811358367,3.840741527249082,2.701001863087825,1.793988774105636
1.5789483157894735,0.5789473684210527,1.1092277433127278,2.6985168554055914,3.8243313211710244,2.701134467771839,1.778758007040843
1.5789483157894735,0.631578947368421,1.213452444439114,2.6986104512422884,3.8083988052089386,2.701260296022634,1.7639931125017376
1.5789483157894735,0.6842105263157894,1.3150821816829523,2.6986980629606356,3.7929623166362743,2.701379903102278,1.7497101379642879
1.5789483157894735,0.7368421052631579,1.4102576504458526,2.6987801244260043,3.778040217706766,2.7014938059332434,1.7359249839627384
1.5789483157894735,0.7894736842105263,1.4978599349689221,2.698857041716723,3.7636506985102143,2.701602486324247,1.7226532307504638
1.5789483157894735,0.8421052631578947,1.577984708479367,2.698929195313258,3.7498115712918434,2.7017063938515737,1.7099099606319133
1.5789483157894735,0.894736842105263,1.6511990320368755,2.6989969420678834,3.736540058559829,2.7018059484402763,1.6977095781354328
1.5789483157894735,0.9473684210526315,1.718206797590031,2.6990606169814377,3.7238525778416447,2.7019015426830277,1.6860656305563138
1.5789483157894735,1.0,1.7797071403620262,2.6991205348100737,3.7117645264321575,2.7019935439289426,1.6749906316992915
1.5789483157894735,0.0,1.7636354941472392,2.6969313501670222,4.027439108449438,2.699144606357799,1.968594538122684
1.5789483157894735,0.05263157894736842,1.653552821871072,2.6971305318039245,4.007136473490607,2.6993872870603877,1.94951082387084
1.5789483157894735,0.10526315789473684,1.5360624620475383,2.6973161478002585,3.9871649076710205,2.69961443079045,1.930757201732078
1.5789483157894735,0.15789473684210525,1.4113363899194171,2.6974891912018895,3.967534098401582,2.699827284159055,1.9123433256768838
1.5789483157894735,0.21052631578947367,1.2811671141586651,2.69765057397419,3.948255135992241,2.7000269855699734,1.8942800181437949
1.5789483157894735,0.2631578947368421,1.1508536870470183,2.6978011356708147,3.929340412776927,2.700214577419007,1.8765791680529373
1.5789483157894735,0.3157894736842105,1.032121012268262,2.697941650933036,3.910803518690771,2.70039101656415,1.8592536254036351
1.5789483157894735,0.3684210526315789,0.9448760986211565,2.6980728360079875,3.8926591308600615,2.7005571833581534,1.8423170906234279
1.5789483157894735,0.42105263157894735,0.9109899638003132,2.69819535443916,3.874922895149874,2.7007138894785765,1.8257839972035639
1.5789483157894735,0.47368421052631576,0.9379894173301957,2.69830982205487,3.857611297996456,2.7008618847461974,1.8096693865194446
3.1578956315789473,0.0,1.763635494147238,2.4200760390980327,3.898405887210156,2.834278502136158,1.8482863294592589
3.1578956315789473,0.05263157894736842,1.6781581747044998,2.4208608311294317,3.8833213133933713,2.834690216340858,1.8342279044844585
3.1578956315789473,0.10526315789473684,1.588424451260868,2.4216302222374506,3.868573286133578,2.8350960551391053,1.8204987647916702
3.1578956315789473,0.15789473684210525,1.4944327547586636,2.4223850780350786,3.854169617744726,2.8354963795442725,1.8071058431661895
3.1578956315789473,0.21052631578947367,1.396599964533593,2.4231262046682724,3.840118400103746,2.835891524758788,1.7940562447532056
3.1578956315789473,0.2631578947368421,1.2961294009203939,2.423854353900353,3.8264279270353274,2.8362818024448955,1.7813571765496117
3.1578956315789473,0.3157894736842105,1.1956040035668662,2.424570227655813,3.8131066150557626,2.8366675027472086,1.7690158762550037
3.1578956315789473,0.3684210526315789,1.0997941896214873,2.4252744820928105,3.8001629225402374,2.8370488960997977,1.7570395406190678
3.1578956315789473,0.42105263157894735,1.0163428359797515,2.425967731263215,3.787605267525646,2.8374262348454944,1.7454352535372355
3.1578956315789473,0.47368421052631576,0.9553030661376891,2.4266505504105633,3.775441944500922,2.837799754690947,1.7342099142512735
3.1578956315789473,0.5263157894736842,0.9261647275473299,2.427323478949066,3.763681040668392,2.838169676017534,1.723370166106051
3.1578956315789473,0.5789473684210527,0.9329704033896088,2.427987023160816,3.7523303522800964,2.8385362050653256,1.712922326395989
3.1578956315789473,0.631578947368421,0.9716922918264048,2.4286416586433197,3.741397301759979,2.8388995350049435,1.7028723179033494
3.1578956315789473,0.6842105263157894,1.0328384289258032,2.429287832535153,3.7308888564138343,2.839259846910101,1.693225602783924
3.1578956315789473,0.7368421052631579,1.1063375466763552,2.42992596554398,3.720811449600252,2.839617310641912,1.6839871194916682
3.1578956315789473,0.7894736842105263,1.1845227773916749,2.4305564537980437,3.711170905285595,2.8399720856546065,1.6751612234516933
3.1578956315789473,0.8421052631578947,1.2626007061401865,2.431179670539604,3.7019723669311952,2.8403243217310727,1.6667516321890852
3.1578956315789473,0.894736842105263,1.337968144602854,2.431795967676554,3.6932202316598044,2.8406741596555536,1.6587613755991155
3.1578956315789473,0.9473684210526315,1.4094037132609052,2.432405677206497,3.6849180906197843,2.8410217318299895,1.6511927520021863
3.1578956315789473,1.0,1.4764736759944557,2.433009112525857,3.677068676409274,2.841367162839628,1.6440472905655303
1e-06,0.5263157894736842,1.4093741313288648,3.0457573800368496,3.9689120047445554,3.045757240130722,1.912984302730689
1e-06,0.5789473684210527,1.535092709507527,3.0457574065756314,3.9449563377249213,3.045757443372134,1.8905239302984802
1e-06,0.631578947368421,1.645777932186991,3.0457572123128727,3.9214232075282127,3.0457570097464735,1.868494475294811
1e-06,0.6842105263157894,1.743419853659399,3.045757429542838,3.898347090049299,3.0457571476918317,1.8469289059380483
1e-06,0.7368421052631579,,,,,
1e-06,0.7894736842105263,1.9075330295503863,3.0457572107416016,3.8537191043554655,3.0457570074096423,1.8053336356054885
1e-06,0.8421052631578947,1.9772575728092217,3.045756323880638,3.832251055425395,3.045757006591605,1.7853816688466781
1e-06,0.894736842105263,,,,,
