time_min,mass_g
4.5,0.0
4.583333333333333,0.009999999999999995
4.666666666666667,0.04000000000000001
4.75,0.07
4.833333333333333,0.09
4.916666666666667,0.10999999999999999
5.0,0.13999999999999999
5.083333333333333,0.17
5.166666666666667,0.19999999999999998
5.25,0.21
5.333333333333333,0.24999999999999997
5.416666666666667,0.28
5.5,0.29000000000000004
5.583333333333333,0.32999999999999996
5.666666666666667,0.33999999999999997
5.75,0.37
5.833333333333333,0.4
5.916666666666667,0.41000000000000003
6.0,0.4600000000000001
6.083333333333333,0.47
6.166666666666667,0.5
6.25,0.55
6.333333333333333,0.55
6.416666666666667,0.59
6.5,0.59
6.583333333333333,0.63
6.666666666666667,0.64
6.75,0.68
6.833333333333333,0.6900000000000001
6.916666666666667,0.73
7.0,0.74
7.083333333333333,0.79
7.166666666666667,0.78
7.25,0.8300000000000001
7.333333333333333,0.85
7.416666666666667,0.89
7.5,0.89
7.583333333333333,0.93
