sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
0.0,0.366,-1.044471057667835,0.4951874961786442,0.3597465113018209,A
0.0,0.507918367346939,-1.0801984320934386,0.3678063796093034,0.337934985526892,A
0.0,0.649836734693878,-1.1174422009202638,0.2450038660069476,0.3144568782373213,A
0.0,0.791755102040816,-1.156335188292455,0.1262516327997554,0.2892778759480132,A
0.0,0.933673469387755,-1.1970282162212258,0.0109064702537177,0.2623294331205419,A
0.0,1.07559183673469,-1.2396934532487962,-0.1016960766228019,0.2335107787829323,A
0.0,1.21751020408163,-1.284528562806314,-0.2122086415137126,0.2026888062170948,A
0.0,1.35942857142857,-1.331761885248013,-0.3212641172427795,0.1696960597401079,A
0.0,1.50134693877551,-1.3816589681920182,-0.4294789740959329,0.1343268058778538,A
0.0,1.64326530612245,-1.434530871784692,-0.5374620570134403,0.0963309770425366,A
0.0,1.78518367346939,-1.490744831590166,-0.6458264273116953,0.0554055138856912,A
0.0,1.92710204081633,-1.5507380791321952,-0.7552033544322826,0.0111823495334461,A
0.0,2.06902040816327,-1.615035919638037,-0.8662582179000464,-0.0367882051673117,A
0.0,2.2109387755102,-1.6842755674622716,-0.9797084261006592,-0.0890605564719745,A
0.0,2.35285714285714,-1.7592377378319064,-1.0963431629765503,-0.1463264268940573,A
0.0,2.49477551020408,-1.840888490417261,-1.2170440688392192,-0.2094618388937853,A
0.0,2.63669387755102,-1.930433900866908,-1.342803485400668,-0.279596603992163,A
0.0,2.77861224489796,-2.029388376358422,-1.4747310277694397,-0.3582204391116194,A
0.0,2.9205306122449,-2.139649185605947,-1.6140241912631803,-0.447351584687915,A
0.0,3.06244897959184,-2.2635398938367737,-1.761842978474059,-0.5498173884230454,A
0.0,3.20436734693878,-2.403683507588641,-1.918937598185568,-0.6697505927962765,A
0.0,3.34628571428571,-2.5622232594700183,-2.0846724966626593,-0.8135351255152223,A
0.0,3.48820408163265,-2.737798718098028,-2.2546901120259246,-0.9917991537975294,A
0.0,3.63012244897959,-2.9158542153404685,-2.4162351316062707,-1.224244638518711,A
0.0,3.77204081632653,-3.048317312305463,-2.542893532606944,-1.5540880663570735,A
