sigma,beta_1,log10_obj_cr
0.0,-0.011027394512255966,nan
0.058823529411764705,-0.011027394512255966,nan
0.11764705882352941,-0.011027394512255966,nan
0.1764705882352941,-0.011027394512255966,nan
0.23529411764705882,-0.011027394512255966,nan
0.29411764705882354,-0.011027394512255966,nan
0.3529411764705882,-0.011027394512255966,nan
0.4117647058823529,-0.011027394512255966,nan
0.47058823529411764,-0.011027394512255966,nan
0.5294117647058824,-0.011027394512255966,nan
0.5882352941176471,-0.011027394512255966,nan
0.6470588235294118,-0.011027394512255966,nan
0.7058823529411764,-0.011027394512255966,nan
0.7647058823529411,-0.011027394512255966,nan
0.8235294117647058,-0.011027394512255966,nan
0.8823529411764706,-0.011027394512255966,nan
0.9411764705882353,-0.011027394512255966,nan
1.0,-0.011027394512255966,nan
0.0,0.009281104420705396,1.22628443850616
0.058823529411764705,0.009281104420705396,1.1751122153253002
0.11764705882352941,0.009281104420705396,1.1222533311299483
0.1764705882352941,0.009281104420705396,1.068162237555539
0.23529411764705882,0.009281104420705396,1.0135961873858508
0.29411764705882354,0.009281104420705396,0.9597344567754335
0.3529411764705882,0.009281104420705396,0.908306517049897
0.4117647058823529,0.009281104420705396,0.8616848350188832
0.47058823529411764,0.009281104420705396,0.8228554087087228
0.5294117647058824,0.009281104420705396,0.7951483718344649
0.5882352941176471,0.009281104420705396,0.7816554840579863
0.6470588235294118,0.009281104420705396,0.7844401110311063
0.7058823529411764,0.009281104420705396,0.8038833274282534
0.7647058823529411,0.009281104420705396,0.8385526524525562
0.8235294117647058,0.009281104420705396,0.8856795975458849
0.8823529411764706,0.009281104420705396,0.9419457117289463
0.9411764705882353,0.009281104420705396,1.00417671152974
1.0,0.009281104420705396,1.0697375322198797
0.0,0.029589603353666758,1.6598494869057954
0.058823529411764705,0.029589603353666758,1.6392402225930447
0.11764705882352941,0.029589603353666758,1.6179977191154395
0.1764705882352941,0.029589603353666758,1.5960908618068752
0.23529411764705882,0.029589603353666758,1.5734867161188952
0.29411764705882354,0.029589603353666758,1.5501504722383381
0.3529411764705882,0.029589603353666758,1.52604541400578
0.4117647058823529,0.029589603353666758,1.5011329241110944
0.47058823529411764,0.029589603353666758,1.4753725420494606
0.5294117647058824,0.029589603353666758,1.448722097475056
0.5882352941176471,0.029589603353666758,1.421137949973114
0.6470588235294118,0.029589603353666758,1.3925753777508154
0.7058823529411764,0.029589603353666758,1.3629891733780777
0.7647058823529411,0.029589603353666758,nan
0.8235294117647058,0.029589603353666758,1.3005682985846825
0.8823529411764706,0.029589603353666758,1.2676508472305454
0.9411764705882353,0.029589603353666758,1.2335485832598723
1.0,0.029589603353666758,1.1982375463956805
0.0,0.049898102286628124,1.8060381381241042
0.058823529411764705,0.049898102286628124,1.7935299363589963
0.11764705882352941,0.049898102286628124,1.780765194642936
0.1764705882352941,0.049898102286628124,1.767735188394737
0.23529411764705882,0.049898102286628124,1.7544307859734884
0.29411764705882354,0.049898102286628124,1.7408424263653333
0.3529411764705882,0.049898102286628124,1.7269600957191833
0.4117647058823529,0.049898102286628124,1.7127733028602898
0.47058823529411764,0.049898102286628124,1.6982710535257814
0.5294117647058824,0.049898102286628124,1.683441823758105
0.5882352941176471,0.049898102286628124,1.6682735322802211
0.6470588235294118,0.049898102286628124,1.6527535121119674
0.7058823529411764,0.049898102286628124,1.6368684816236436
0.7647058823529411,0.049898102286628124,1.6206045153534687
0.8235294117647058,0.049898102286628124,1.6039470149623851
0.8823529411764706,0.049898102286628124,1.5868806809205838
0.9411764705882353,0.049898102286628124,1.5693894856550004
1.0,0.049898102286628124,1.5514566491404442
0.0,0.07020660121958948,1.8819565862806729
0.058823529411764705,0.07020660121958948,1.872987684259641
0.11764705882352941,0.07020660121958948,1.86388055358153
0.1764705882352941,0.07020660121958948,1.8546316560245821
0.23529411764705882,0.07020660121958948,nan
0.29411764705882354,0.07020660121958948,nan
0.3529411764705882,0.07020660121958948,1.8259970403736199
0.4117647058823529,0.07020660121958948,nan
0.47058823529411764,0.07020660121958948,1.806127610790701
0.5294117647058824,0.07020660121958948,nan
0.5882352941176471,0.07020660121958948,nan
0.6470588235294118,0.07020660121958948,nan
0.7058823529411764,0.07020660121958948,nan
0.7647058823529411,0.07020660121958948,nan
0.8235294117647058,0.07020660121958948,nan
0.8823529411764706,0.07020660121958948,nan
0.9411764705882353,0.07020660121958948,nan
1.0,0.07020660121958948,nan
0.0,0.09051510015255083,1.9293396219723586
0.058823529411764705,0.09051510015255083,1.9223471121467453
0.11764705882352941,0.09051510015255083,nan
0.1764705882352941,0.09051510015255083,nan
0.23529411764705882,0.09051510015255083,1.9008433853320565
