beta_0,Lp,log10_obj_cr
0.10609390400816746,0.9075291841137079,3.3995818315714006
0.28713468143386484,0.9075291841137079,3.38780596166829
0.46817545885956224,0.9075291841137079,3.377361103659318
0.6492162362852596,0.9075291841137079,3.368072064738043
0.830257013710957,0.9075291841137079,3.359780960411613
1.0112977911366543,0.9075291841137079,3.35235062612552
1.1923385685623518,0.9075291841137079,3.3456639297908706
1.373379345988049,0.9075291841137079,3.339621602022656
1.5544201234137465,0.9075291841137079,3.3341397145593037
1.735460900839444,0.9075291841137079,3.329147272573602
1.9165016782651412,0.9075291841137079,3.3245840883831836
2.0975424556908386,0.9075291841137079,3.320398972879669
2.278583233116536,0.9075291841137079,3.316548226591351
2.4596240105422336,0.9075291841137079,3.3129943929977075
2.6406647879679306,0.9075291841137079,3.3097052330348604
2.821705565393628,0.9075291841137079,3.3066528825340704
3.0027463428193255,0.9075291841137079,3.3038131593889415
3.183787120245023,0.9075291841137079,3.3011649926565627
0.10609390400816746,1.9218265075349106,3.310834259036179
0.28713468143386484,1.9218265075349106,3.284518291055109
0.46817545885956224,1.9218265075349106,3.2610109516922297
0.6492162362852596,1.9218265075349106,3.2399934741018344
0.830257013710957,1.9218265075349106,3.2211589558186904
1.0112977911366543,1.9218265075349106,3.2042291863399046
1.1923385685623518,1.9218265075349106,3.188959455236419
1.373379345988049,1.9218265075349106,3.1751378641561794
1.5544201234137465,1.9218265075349106,3.1625823581690318
1.735460900839444,1.9218265075349106,3.1511370358553785
1.9165016782651412,1.9218265075349106,3.140668464578126
2.0975424556908386,1.9218265075349106,3.1310623107023416
2.278583233116536,1.9218265075349106,3.1222203898136938
2.4596240105422336,1.9218265075349106,3.114058145222432
2.6406647879679306,1.9218265075349106,3.1065025208602504
2.821705565393628,1.9218265075349106,3.0994901796044205
3.0027463428193255,1.9218265075349106,3.092966015966039
3.183787120245023,1.9218265075349106,3.0868819157445575
0.10609390400816746,2.936123830956113,3.2155617444866897
0.28713468143386484,2.936123830956113,3.1730115509274706
0.46817545885956224,2.936123830956113,3.1346947693225076
0.6492162362852596,2.936123830956113,3.100217707890264
0.830257013710957,2.936123830956113,3.06916415715466
1.0112977911366543,2.936123830956113,3.041135740462837
1.1923385685623518,2.936123830956113,3.015769396096778
1.373379345988049,2.936123830956113,2.992742887608106
1.5544201234137465,2.936123830956113,2.97177435937536
1.735460900839444,2.936123830956113,2.9526191885176085
1.9165016782651412,2.936123830956113,2.9350658401261067
2.0975424556908386,2.936123830956113,2.918931585198205
2.278583233116536,2.936123830956113,2.9040584839278325
2.4596240105422336,2.936123830956113,2.890309796503737
2.6406647879679306,2.936123830956113,2.877566861170891
2.821705565393628,2.936123830956113,2.8657264205453323
3.0027463428193255,2.936123830956113,2.854698352069683
3.183787120245023,2.936123830956113,2.8444037507060647
0.10609390400816746,3.950421154377316,3.112979845366074
0.28713468143386484,3.950421154377316,3.0519940911330345
0.46817545885956224,3.950421154377316,2.996534627148832
0.6492162362852596,3.950421154377316,2.9462195388476458
0.830257013710957,3.950421154377316,2.9005785018559496
1.0112977911366543,3.950421154377316,2.8591265081097497
1.1923385685623518,3.950421154377316,2.8214016241082915
1.373379345988049,3.950421154377316,2.7869818923338094
1.5544201234137465,3.950421154377316,2.7554907615853677
1.735460900839444,3.950421154377316,2.726596587788389
1.9165016782651412,3.950421154377316,2.7000093430724
2.0975424556908386,3.950421154377316,2.6754762418052898
2.278583233116536,3.950421154377316,2.652777172603181
2.4596240105422336,3.950421154377316,2.631720368375041
2.6406647879679306,3.950421154377316,2.6121384986100233
2.821705565393628,3.950421154377316,2.5938852381645336
3.0027463428193255,3.950421154377316,2.5768323021130906
3.183787120245023,3.950421154377316,2.5608669069586045
0.10609390400816746,4.9647184777985185,3.0020267299357335
0.28713468143386484,4.9647184777985185,2.919679370206728
0.46817545885956224,4.9647184777985185,2.8438581445508437
0.6492162362852596,4.9647184777985185,2.774296709294822
0.830257013710957,4.9647184777985185,2.7105433191170167
1.0112977911366543,4.9647184777985185,2.6520768408887347
1.1923385685623518,4.9647184777985185,2.598372148114824
1.373379345988049,4.9647184777985185,2.5489334387634233
1.5544201234137465,4.9647184777985185,2.5033087201087145
1.735460900839444,4.9647184777985185,2.4610939312822233
1.9165016782651412,4.9647184777985185,2.4219317501952813
2.0975424556908386,4.9647184777985185,2.3855079435850346
2.278583233116536,4.9647184777985185,2.351546810816159
2.4596240105422336,4.9647184777985185,2.319806522261459
2.6406647879679306,4.9647184777985185,2.2900747364346152
2.821705565393628,4.9647184777985185,2.262164655127113
3.0027463428193255,4.9647184777985185,2.2359115586150375
3.183787120245023,4.9647184777985185,2.2111698052113833
0.10609390400816746,5.979015801219721,2.8812644927219866
0.28713468143386484,5.979015801219721,2.773557167857612
0.46817545885956224,5.979015801219721,2.672756748690269
0.6492162362852596,5.979015801219721,2.5788132410734805
0.830257013710957,5.979015801219721,2.4913697233743033
1.0112977911366543,5.979015801219721,2.409928612590855
1.1923385685623518,5.979015801219721,2.3339512280952697
1.373379345988049,5.979015801219721,2.2629114392939487
1.5544201234137465,5.979015801219721,2.1963211980538637
1.735460900839444,5.979015801219721,2.1337402032273283
1.9165016782651412,5.979015801219721,2.0747772171214987
2.0975424556908386,5.979015801219721,2.019087344550988
2.278583233116536,5.979015801219721,1.9663676266489605
2.4596240105422336,5.979015801219721,1.9163521749446923
2.6406647879679306,5.979015801219721,1.8688074470126659
2.821705565393628,5.979015801219721,1.8235279293187898
3.0027463428193255,5.979015801219721,1.7803323180179242
3.183787120245023,5.979015801219721,1.739060201378565
0.10609390400816746,6.993313124640924,2.7487145359912506
0.28713468143386484,6.993313124640924,2.6099970498229954
0.46817545885956224,6.993313124640924,2.4772776765084537
0.6492162362852596,6.993313124640924,2.3507359068037434
0.830257013710957,6.993313124640924,2.2301113919394906
1.0112977911366543,6.993313124640924,2.1149331127465953
1.1923385685623518,6.993313124640924,2.0046639374554314
1.373379345988049,6.993313124640924,1.8987824981788295
1.5544201234137465,6.993313124640924,1.7968263114681022
1.735460900839444,6.993313124640924,1.698413694253514
1.9165016782651412,6.993313124640924,1.6032554002283705
2.0975424556908386,6.993313124640924,1.511162153982242
2.278583233116536,6.993313124640924,1.422051226712791
2.4596240105422336,6.993313124640924,1.3359532343944605
2.6406647879679306,6.993313124640924,1.2530188903895514
2.821705565393628,6.993313124640924,1.1735241474491414
3.0027463428193255,6.993313124640924,1.0978708645743949
3.183787120245023,6.993313124640924,1.0265789245004504
0.10609390400816746,8.007610448062128,2.6015912387484756
0.28713468143386484,8.007610448062128,2.423550786688763
0.46817545885956224,8.007610448062128,2.2478923652692377
0.6492162362852596,8.007610448062128,2.0746846656641464
