sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
0.0,2.7411254895169916,2.9590797171639203,1.8929538880082448,4.26471585506299,2.6865888910746474,1.3404840725715241
0.0,2.990318715836718,2.88745367364972,1.9096424642990264,4.324329104347096,2.7342453436743783,1.2388539985927127
0.0,3.2395119421564447,2.811107583702069,1.9279942947385047,4.401996272610415,2.780321471102307,1.327104857055849
0.0,3.488705168476171,2.7298623155348043,1.9486071647894516,4.48877925862457,2.824799153911697,1.5234670364853526
0.0,3.7378983947958977,2.6438325755207615,1.971839888546939,4.57830584720633,2.867752424586591,1.728610057538981
0.0,3.987091621115624,2.5537294399752604,1.9978494258608506,4.66673066924685,2.909290208401579,1.9110893541938696
0.0,4.236284847435351,2.461388429574871,2.026626775204781,4.752016812556868,2.949529459768329,2.0683635649157988
0.0,4.485478073755077,2.3705958686806556,2.058033350249064,4.833241791748683,2.9885830411751915,2.2041926598973554
0.0,4.734671300074804,2.2880875164648846,2.09183705941866,4.910113502828931,3.0265547690815504,2.322728444364108
0.0,4.98386452639453,2.2239513751230437,2.127746130051316,4.982674222120448,3.063537909951135,2.427384364208886
0.0,0.2491932263197265,3.4859852182911153,2.3209806348424795,4.810760068800551,3.2989227827140684,2.7831042107494617
0.0,0.498386452639453,3.444644180166958,1.835668328891257,4.735635446032502,2.904664867959422,2.696604595308081
0.0,0.7475796789591795,3.401363398197379,1.6898749977261058,4.656216261378351,2.651815188512388,2.6028437083176685
0.0,0.996772905278906,3.355967391254657,1.7066936755738293,4.573306145053281,2.513371149731269,2.500231973534859
0.0,1.2459661315986326,3.308258962617011,1.7513228386930857,4.4886304886662725,2.4617870571901044,2.386708304442115
0.05263157894736842,0.2491932263197265,3.4859946947243383,2.321020446532619,4.8107720298928465,3.2989587957202526,2.7831179954341168
0.05263157894736842,0.498386452639453,3.444678098827519,1.83567230011709,4.735675784740456,2.9047439063353617,2.696652309288996
0.05263157894736842,0.7475796789591795,3.4014391597482003,1.689756386663773,4.65630069052361,2.651951305408364,2.602948946826699
0.05263157894736842,0.996772905278906,3.356105764162286,1.7065086858830913,4.573447961239233,2.513595265526091,2.5004254661707845
0.05263157894736842,1.2459661315986326,3.3084846271421893,1.7511251085634596,4.488833749135897,2.462121037503185,2.3870309407487795
0.0,1.495159357918359,3.2580164991379337,1.7900438889585908,4.40552034171719,2.46447882615999,2.2596045740108344
0.0,1.7443525842380856,3.204991347970594,1.8196035119348082,4.329673883290842,2.4954963801568244,2.115486803956589
0.0,1.993545810557812,3.1489057108477736,1.8422754464275983,4.269471483549494,2.5393018956361555,1.9501811087735266
0.0,2.2427390368775386,3.089451917418429,1.8607037441215035,4.234685441252399,2.5879233391794947,1.759841763414964
0.0,2.491932263197265,3.0262947214632376,1.8770482152570176,4.2327803284239565,2.6375828306272524,1.5466092066064658
0.05263157894736842,1.495159357918359,3.2583586453337388,1.789860043198901,4.405766358719917,2.464921503163181,2.2601110084599507
