sheet,salt,Lp_contour,B_warm,sigma_contour,WSSE_mass,WSSE_perm_conc,WSSE_ret_conc,WSSE_perm_cond,WSSE_ret_cond,WSSE_3ch,WSSE_5ch
MC3.07.22.24_SNaCl,?,8.626655014877299,14.679122435486025,0.7857142857142857,39.76949484122003,6.631508784609617,514.0566616147909,426332.5054836475,3.8644786020247333,560.4576652406205,426896.82762749016
MC5.07.23.24_S2NaCl,?,7.749649208166664,10.144693973991615,0.2857142857142857,41.74774344910805,52.3505877627572,793.6630018353317,16174.865963203014,5.7743676225187945,887.7613330471969,17068.40166387273
MC2.05.07.24_NaCl,?,10.451058048832309,9.732247231930808,1.0,11.858320980772366,103.31411207351539,4412.688382990165,2396.741188108993,41.188737487281834,4527.860816044453,6965.790741640728
MC4.07.11.24_SNaCl,?,11.34524905444972,2.0235914766214718,0.5,14.969733794219401,440.58725006362954,19052.801657696087,383.8803137109993,187.4361083791362,19508.358641553936,20079.675063644074
MC5.07.23.24_NaCl,?,10.524161499173076,3.698282804252679,0.7857142857142857,4.781162961310321,212.94979971030034,6806.048245633606,136.72555078647073,61.40438188594415,7023.779208305216,7221.909140977632
MC5.07.23.24_SNaCl,?,8.635618953267096,3.0651658744362815,0.5714285714285714,10.795196265735587,251.04626897230202,5608.282460108862,125.65020460333793,50.879937877264396,5870.1239253469,6046.654067827503
MC2.05.07.24_CaCl2,?,8.000862233132926,0.5093721041000184,0.5,21.59960768018612,721.5633645297975,96470.00943224538,502.51094344122157,648.4610946414452,97213.17240445537,98364.14444253803
MC3.07.11.24_SCaCl2,?,6.5608160443680115,9.109847049454086,1.0,74.68751701921386,61.121239937993984,6003.267443684913,452.6041460222661,48.82013919276596,6139.076200642121,6640.500485857153
MC3.07.12.24_S2CaCl2,?,5.489953194491583,30.0,1.0,84.45985162944596,90.04812427786851,9599.398938270788,428.8292124501948,79.03046067776971,9773.906914178102,10281.766587306067
MC2.05.21.24_LaCl3,?,2.9547196835053287,0.3133500045845733,0.0,790.6215028808521,80.75581304832373,20628.86783793879,533.9882977309771,17.460344740355264,21500.245153867963,22051.6937963393
MC4.07.11.24_SLaCl3,?,5.551633275358591,0.171510512400045,0.9285714285714284,171.08902250990312,81.6266943880342,74827.7784098207,834.7473606011862,147.66374728394658,75080.49412671864,76062.90523460378
