Lp,B,sigma,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.5,5.689655793103449,0.2222222222222222,3.4611437760071824,2.9831612933332416,4.818513544753572
0.5,5.689655793103449,0.3333333333333333,3.4611635937774845,2.983173398670375,4.818539227998274
0.5,5.689655793103449,0.4444444444444444,3.4611833973248425,2.9831854998131035,4.8185648981757305
0.5,5.689655793103449,0.5555555555555556,3.461203186666811,2.983197596764129,4.818590555298042
0.5,5.689655793103449,0.6666666666666666,3.4612229618209147,2.9832096895261446,4.818616199377288
0.5,5.689655793103449,0.7777777777777777,3.4612427228046454,2.9832217781018464,4.818641830425535
0.5,5.689655793103449,0.8888888888888888,3.461262469635464,2.983233862493925,4.818667448454833
0.5,5.689655793103449,1.0,3.4612822023308047,2.9832459427050697,4.81869305347721
0.5,6.206897137931034,0.0,3.4611040977273775,2.984431773587575,4.8185462841948565
0.5,6.206897137931034,0.1111111111111111,3.4611224410445125,2.9844431688260413,4.818570077785413
0.5,6.206897137931034,0.2222222222222222,3.4611407721085365,2.9844545602965677,4.818593860097434
0.5,6.206897137931034,0.3333333333333333,3.461159090933575,2.984465948001483,4.818617631140678
0.5,6.206897137931034,0.4444444444444444,3.461177397533733,2.9844773319431135,4.818641390924892
0.5,6.206897137931034,0.5555555555555556,3.46119569192309,2.984488712123784,4.818665139459808
0.5,6.206897137931034,0.6666666666666666,3.461213974115703,2.984500088545817,4.818688876755148
0.5,6.206897137931034,0.7777777777777777,3.4612322441256067,2.984511461211532,4.8187126028206215
0.5,6.206897137931034,0.8888888888888888,3.461250501966814,2.9845228301232467,4.8187363176659215
0.5,6.206897137931034,1.0,3.4612687476533117,2.9845341952832785,4.818760021300733
0.5,6.724138482758621,0.0,3.4611040977273775,2.9855481687308254,4.818618907540168
0.5,6.724138482758621,0.1111111111111111,3.4611211495178984,2.9855589223470624,4.818641050880555
0.5,6.724138482758621,0.2222222222222222,3.4611381906659893,2.9855696725696332,4.818663184403851
0.5,6.724138482758621,0.3333333333333333,3.4611552211831476,2.985580419400546,4.818685308118022
0.5,6.724138482758621,0.4444444444444444,3.461172241080856,2.9855911628418124,4.81870742203102
0.5,6.724138482758621,0.5555555555555556,3.4611892503705795,2.985601902895437,4.818729526150793
0.5,6.724138482758621,0.6666666666666666,3.4612062490637627,2.985612639563428,4.8187516204852745
0.5,6.724138482758621,0.7777777777777777,3.461223237171837,2.985623372847788,4.818773705042393
0.5,6.724138482758621,0.8888888888888888,3.4612402147062125,2.985634102750518,4.818795779830061
0.5,6.724138482758621,1.0,3.4612571816782833,2.9856448292736197,4.818817844856187
0.5,7.241379827586207,0.0,3.4611040977273775,2.986520504990234,4.81868221934449
0.5,7.241379827586207,0.1111111111111111,3.4611200277679717,2.986530682871063,4.818702926379784
0.5,7.241379827586207,0.2222222222222222,3.4611359484793383,2.9865408576831256,4.81872362479312
0.5,7.241379827586207,0.3333333333333333,3.4611518598709616,2.9865510294281656,4.818744314591083
0.5,7.241379827586207,0.4444444444444444,3.461167761952313,2.9865611981079248,4.818764995780247
0.5,7.241379827586207,0.5555555555555556,3.461183654732848,2.986571363724142,4.818785668367186
0.5,7.241379827586207,0.6666666666666666,3.4611995382220107,2.9865815262785578,4.818806332358456
0.5,7.241379827586207,0.7777777777777777,3.461215412429229,2.9865916857729076,4.818826987760612
0.5,7.241379827586207,0.8888888888888888,3.461231277363921,2.9866018422089278,4.8188476345802
0.5,7.241379827586207,1.0,3.461247133035488,2.9866119955883526,4.818868272823759
0.5,7.758621172413793,0.0,3.4611040977273775,2.9873748437952408,4.818737898513962
0.5,7.758621172413793,0.1111111111111111,3.461119044404705,2.9873845026421306,4.818757344125702
0.5,7.758621172413793,0.2222222222222222,3.4611339828374286,2.9873941587031547,4.8187767821052105
0.5,7.758621172413793,0.3333333333333333,3.461148913033461,2.9874038119798296,4.818796212457994
0.5,7.758621172413793,0.4444444444444444,3.4611638350007032,2.987413462473673,4.81881563518955
0.5,7.758621172413793,0.5555555555555556,3.461178748747048,2.9874231101861994,4.818835050305369
0.5,7.758621172413793,0.6666666666666666,3.461193654280374,2.9874327551189217,4.818854457810938
0.5,7.758621172413793,0.7777777777777777,3.4612085516085522,2.9874423972733535,4.818873857711737
0.5,7.758621172413793,0.8888888888888888,3.4612234407394413,2.9874520366510064,4.81889325001324
0.5,7.758621172413793,1.0,3.4612383216808884,2.9874616732533896,4.818912634720917
0.5,8.275862517241379,0.0,3.4611040977273775,2.988131351177224,4.818787243327612
0.5,8.275862517241379,0.1111111111111111,3.4611181753228077,2.98814054002073,4.818805572296954
0.5,8.275862517241379,0.2222222222222222,3.4611322455797437,2.988149726325617,4.818823894462844
0.5,8.275862517241379,0.3333333333333333,3.461146308504858,2.9881589100932118,4.818842209829934
0.5,8.275862517241379,0.4444444444444444,3.46116036410481,2.988168091324841,4.818860518402863
0.5,8.275862517241379,0.5555555555555556,3.4611744123862516,2.9881772700218283,4.81887882018627
0.5,8.275862517241379,0.6666666666666666,3.461188453355829,2.988186446185498,4.818897115184787
0.5,8.275862517241379,0.7777777777777777,3.4612024870201754,2.988195619817174,4.818915403403043
0.5,8.275862517241379,0.8888888888888888,3.4612165133859176,2.988204790918178,4.818933684845663
0.5,8.275862517241379,1.0,3.461230532459675,2.9882139594898294,4.818951959517266
0.5,8.793103862068964,0.0,3.4611040977273775,2.9888058662730494,4.818831273590531
0.5,8.793103862068964,0.1111111111111111,3.461117401705317,2.9888146277243437,4.8188486071305165
0.5,8.793103862068964,0.2222222222222222,3.461130699109453,2.9888233868539795,4.818865934567945
0.5,8.793103862068964,0.3333333333333333,3.461143989945458,2.9888321436631218,4.818883255906779
0.5,8.793103862068964,0.4444444444444444,3.4611572742189995,2.988840898152937,4.818900571150971
0.5,8.793103862068964,0.5555555555555556,3.461170551935737,2.9888496503245885,4.818917880304476
0.5,8.793103862068964,0.6666666666666666,3.461183823101323,2.9888584001792387,4.818935183371241
0.5,8.793103862068964,0.7777777777777777,3.4611970877214047,2.988867147718051,4.818952480355209
0.5,8.793103862068964,0.8888888888888888,3.461210345801619,2.988875892942186,4.818969771260322
0.5,8.793103862068964,1.0,3.4612235973475998,2.9888846358528047,4.818987056090515
