B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
1e-06,0.366,-0.623980884670855,1.8785489993958,3.37965064967992
1e-06,0.507918367346939,-0.689846623498893,1.88280964265885,3.3009889063772
1e-06,0.649836734693878,-0.754988868873371,1.88505256283028,3.2218768423755
1e-06,0.791755102040816,-0.819533283292821,1.88642137121176,3.14228753331364
1e-06,0.933673469387755,-0.883613824127137,1.88733761086651,3.06218037157861
1e-06,1.07559183673469,-0.947364579812176,1.88799059370448,2.98150017206601
1e-06,1.21751020408163,-1.01091069131802,1.88847749568199,2.90017638882588
1e-06,1.35942857142857,-1.07435829045178,1.88885320697141,2.8181220588066
1e-06,1.50134693877551,-1.13778293437862,1.88915103517601,2.73523237003205
1e-06,1.64326530612245,-1.20121581466983,1.88939234312394,2.65138274660156
1e-06,1.78518367346939,-1.26462686116748,1.88959144768103,2.56642633223085
1e-06,1.92710204081633,-1.32790383585605,1.88975829036095,2.48019070010772
1e-06,2.06902040816327,-1.39082670588188,1.88989997888154,2.39247355980166
1e-06,2.2109387755102,-1.45303724716647,1.89002172028947,2.30303715362777
1e-06,2.35285714285714,-1.51400531839684,1.89012740884387,2.21160092054972
1e-06,2.49477551020408,-1.57299600838891,1.89022000920389,2.11783178359459
1e-06,2.63669387755102,-1.62904617538325,1.89030181356607,2.02133117727692
1e-06,2.77861224489796,-1.68096443968275,1.89037461860592,1.9216174435219
1e-06,2.9205306122449,-1.72737333940983,1.89043984991377,1.81810159394082
1e-06,3.06244897959184,-1.76681160558974,1.8904986511874,1.71005316381809
1e-06,3.20436734693878,-1.79790206711708,1.89055194924308,1.59655102077799
1e-06,3.34628571428571,-1.81956400572661,1.89060050210824,1.47641042335887
1e-06,3.48820408163265,-1.83121644649455,1.89064493507373,1.3480711499867
1e-06,3.63012244897959,-1.8329027945584,1.89068576804474,1.2094189111319
1e-06,3.77204081632653,-1.82528721442788,1.89072343651569,1.05748568498659
1e-06,3.91395918367347,-1.80952445467867,1.89075830781561,0.887915037765359
1e-06,4.05587755102041,-1.78705491009062,1.89079069380483,0.693929407168232
1e-06,4.19779591836735,-1.75939447054707,1.8908208608829,0.464112462330232
1e-06,4.33971428571429,-1.72797097757936,1.89084903793854,0.176874606158457
1e-06,4.48163265306122,-1.69402656312837,1.89087542271126,-0.217012004564083
1e-06,4.62355102040816,-1.65857924228092,1.89090018691819,-0.880389604699091
1e-06,4.7654693877551,-1.62242541949083,1.89092348041135,-3.21973639340051
1e-06,4.90738775510204,-1.58616481808155,1.89094543457093,-0.827566822395821
1e-06,5.04930612244898,-1.55023396540662,1.89096616509032,-0.282403671646107
1e-06,5.19122448979592,-1.51494000627637,1.89098577427515,0.031288808448599
1e-06,5.33314285714286,-1.48049074709918,1.8910043529514,0.247761944018155
1e-06,5.4750612244898,-1.44701952167247,1.8910219820566,0.410523080284017
1e-06,5.61697959183673,-1.41460488385041,1.89103873397387,0.539242087552895
1e-06,5.75889795918367,-1.38328574934256,1.89105467365526,0.644500778773618
1e-06,5.90081632653061,-1.35307282111036,1.89106985957176,0.73264918709855
1e-06,6.04273469387755,-1.32395707904399,1.89108434452094,0.807797296395021
1e-06,6.18465306122449,-1.29591602171555,1.89109817631501,0.872757374377702
1e-06,6.32657142857143,-1.2689182467825,1.89111139837161,0.929537751302855
1e-06,6.46848979591837,-1.24292672860555,1.89112405021984,0.979621961411761
1e-06,6.61040816326531,-1.21790120641355,1.89113616793869,1.02413638500452
1e-06,6.75232653061224,-1.19379986728759,1.89114778453623,1.06395593337099
1e-06,6.89424489795918,-1.17058053286858,1.89115893027793,1.09977327223775
1e-06,7.03616326530612,-1.14820147458765,1.89116963297507,1.13214583061281
1e-06,7.17808163265306,-1.12662198887237,1.89117991823511,1.16152853495665
1e-06,7.32,-1.10580274368338,1.8911898096824,1.18829722514138
0.040817306122449,0.366,-0.630491757953655,1.65873654586997,3.37913672984414
0.040817306122449,0.507918367346939,-0.698281193456525,1.68844249150356,3.29950164526139
0.040817306122449,0.649836734693878,-0.765449998283532,1.70480743256993,3.219215646789
0.040817306122449,0.791755102040816,-0.832185663993241,1.71451353364078,3.13818037225483
0.040817306122449,0.933673469387755,-0.898672452233082,1.7204035129384,3.05629127556381
0.040817306122449,1.07559183673469,-0.965099307676579,1.72389043276658,2.97342591411538
0.040817306122449,1.21751020408163,-1.03165867217267,1.72575630023624,2.88943795805338
0.040817306122449,1.35942857142857,-1.09854217843875,1.72646939045135,2.80415227048066
0.040817306122449,1.50134693877551,-1.16593453654642,1.72632765263974,2.71735955925793
0.040817306122449,1.64326530612245,-1.23400551276956,1.72553007260734,2.62880980786751
0.040817306122449,1.78518367346939,-1.30289916759827,1.72421494835925,2.53820381404283
0.040817306122449,1.92710204081633,-1.37271896533359,1.72248169526189,2.44518199366746
0.040817306122449,2.06902040816327,-1.44350670355988,1.72040389424193,2.34930932378936
0.040817306122449,2.2109387755102,-1.51521253081154,1.71803742903366,2.25005472528177
0.040817306122449,2.35285714285714,-1.58765264121217,1.71542573965034,2.14676230629419
0.040817306122449,2.49477551020408,-1.66045103800325,1.71260331645601,2.03861035314316
0.040817306122449,2.63669387755102,-1.73296295188218,1.70959808390404,1.92455133718071
0.040817306122449,2.77861224489796,-1.80418206476691,1.70643306291753,1.80322138641037
0.040817306122449,2.9205306122449,-1.87264462131094,1.70312755258774,1.67279859577764
0.040817306122449,3.06244897959184,-1.93636396630372,1.69969798383967,1.53077112529832
0.040817306122449,3.20436734693878,-1.99285721111807,1.69615854571539,1.37353615927908
0.040817306122449,3.34628571428571,-2.03934514003763,1.69252164913199,1.19565615086795
0.040817306122449,3.48820408163265,-2.07317862967974,1.68879827640812,0.988347376240583
0.040817306122449,3.63012244897959,-2.09243283688115,1.68499824478455,0.735996269441395
0.040817306122449,3.77204081632653,-2.09645021043648,1.68113040829135,0.406484901161581
0.040817306122449,3.91395918367347,-2.08605126065763,1.67720281311893,-0.0856292839169604
0.040817306122449,4.05587755102041,-2.06328843751584,1.67322281820111,-1.17721981095045
0.040817306122449,4.19779591836735,-2.03088829497658,1.66919718930504,-0.908626599439691
0.040817306122449,4.33971428571429,-1.99166566967677,1.66513217350001,-0.0682692490761221
0.040817306122449,4.48163265306122,-1.94811670098802,1.66103355788366,0.33120396503822
0.040817306122449,4.62355102040816,-1.90223695438095,1.65690671683658,0.590343699297177
0.040817306122449,4.7654693877551,-1.85550610398826,1.65275665042205,0.779644108451226
