# source: NF270_MC5.xlsx / 07.23.24_S2NaCl
# calibration: cond = 136.687669 + 98.417470 * c_mM  (fit from 14 vial points, R^2=0.999069, ICP molar mass = 22.99 g/mol [Na+])
# apply_cp: False (non-CP, bulk == interfacial)
c_int_mM,ionic_strength_mM,rejection,c_p_mM,Jw_m3_m2_s,B_um_s,time_s,ret_cond_uS_cm,perm_cond_uS_cm
88.88261755048251,88.88261755048251,0.9995499682491092,0.04,8.190814682325096e-08,3.6877862936313775e-05,0.349,8884.29,65.22999999999999
88.86686831406458,88.86686831406458,0.9995498884932162,0.04,8.123027949230099e-08,3.6579148194258355e-05,7.356,8882.74,79.0
88.91746908655568,88.91746908655568,0.9995501446407448,0.04,8.008938038202233e-08,3.6044851954110065e-05,14.461,8887.72,85.8
88.89023814874923,88.89023814874923,0.9995500068305243,0.04,7.858803407544338e-08,3.537999929448684e-05,21.043,8885.04,91.80000000000001
88.8638200747579,88.8638200747579,0.9995498730533264,0.04,7.686298800789696e-08,3.4613682655488496e-05,28.109,8882.44,99.82000000000001
88.89003493279546,88.89003493279546,0.9995500058017724,0.04,7.495152503455125e-08,3.374293553907693e-05,34.706,8885.02,105.41
88.89846839487731,88.89846839487731,0.9995500484910232,0.04,7.294200331797374e-08,3.283513868090882e-05,41.695,8885.85,186.32000000000002
89.00668089026493,89.00668089026493,0.9995505955328307,0.04,7.087583789140486e-08,3.186623899292184e-05,48.375,8896.5,361.56
88.9941831091075,88.9941831091075,0.9995505324213049,0.04,6.878958860473983e-08,3.093259302729604e-05,55.443,8895.27,627.03
89.05138840009643,89.05138840009643,0.9995508211526104,0.04,4.8467487979096904e-08,2.1780353660473585e-05,61.922,8900.9,824.05
89.11042263466942,89.11042263466942,0.9995511187264369,0.04,4.8407960844885685e-08,2.173918542788796e-05,68.313,8906.710000000001,1067.18
89.07902576981047,89.07902576981047,0.9995509605133832,0.04,4.814099615010333e-08,2.162691953730967e-05,74.745,8903.62,1361.73
89.15685748010803,89.15685748010803,0.9995513525136424,0.04,4.7717172874922855e-08,2.1417798707982455e-05,81.238,8911.279999999999,1672.6000000000001
89.15096421744843,89.15096421744843,0.9995513228561114,0.04,3.249378857642842e-08,1.458576455177261e-05,87.713,8910.7,1954.6699999999998
89.06957622795971,89.06957622795971,0.9995509128740253,0.04,3.3293289353661596e-08,1.495830521237766e-05,94.122,8902.69,2215.2
89.18175143444603,89.18175143444603,0.9995514777478955,0.04,3.386126898834574e-08,1.5194347628786263e-05,100.594,8913.73,2514.4700000000003
89.33172480833537,89.33172480833537,0.9995522307434921,0.04,3.4235316879080846e-08,1.5336389549005548e-05,107.673,8928.49,2793.32
89.44522091852126,89.44522091852126,0.9995527989132428,0.04,3.444752602271376e-08,1.541186327546005e-05,114.114,8939.66,3029.34
89.31800773145524,89.31800773145524,0.9995521619770085,0.04,3.4526271532930384e-08,1.5469104837905464e-05,120.644,8927.14,3228.73
89.26435871965744,89.26435871965744,0.9995518928206764,0.04,3.4490647949309434e-08,1.546243579409919e-05,127.066,8921.86,3427.6
89.4766177833802,89.4766177833802,0.6028119947800978,35.53903933120441,3.4360812791874405e-08,0.022640064910317007,133.48,8942.75,3634.35
89.42124143597528,89.42124143597528,0.5779915997428993,37.73651504739989,3.415569475008573e-08,0.024938061569692575,139.988,8937.300000000001,3850.6200000000003
89.51167253540717,89.51167253540717,0.5596847832954772,39.41335149001208,3.388393946857297e-08,0.026657173100293224,147.059,8946.199999999999,4015.65
89.58046113576158,89.58046113576158,0.5387679093733148,41.31738336894984,3.356137524946689e-08,0.028731450038707536,153.636,8952.970000000001,4203.04
89.49744741864262,89.49744741864262,0.5229440573446041,42.69528914355228,3.3193888887438507e-08,0.03028113950468021,160.712,8944.800000000001,4338.650000000001
89.55383984581646,89.55383984581646,0.5054470925501638,44.28911186904551,3.279556831140216e-08,0.032088707005993825,167.275,8950.35,4495.51
89.61002905703651,89.61002905703651,0.48949493762041474,45.74637347359887,2.7274495818091435e-08,0.028445173011745983,174.387,8955.880000000001,4638.93
88.29715238764354,88.29715238764354,0.46540946182379095,47.202822214337104,1.3289524628703825e-08,0.015264954209406654,180.988,8826.67,4782.2699999999995
88.35445928660937,88.35445928660937,0.4496262430801481,48.627975698193296,4.2329171078679944e-08,0.05181384599413482,187.921,8832.31,4922.53
88.44224857864214,88.44224857864214,0.4383622476937372,49.672505700620334,7.007165614532177e-08,0.08977709112699693,194.549,8840.949999999999,5025.33
88.38402720788429,88.38402720788429,0.4260281917592117,50.72993991611237,1.388579658698696e-07,0.18707813074495533,201.618,8835.22,5129.400000000001
88.50433105252182,88.50433105252182,0.41454370292368226,51.81541793322599,1.960853097339181e-07,0.27692949751311785,208.419,8847.060000000001,5236.23
88.5671247822397,88.5671247822397,0.4024274583269951,52.925281864793156,2.8397662497496765e-07,0.4216825419107585,215.263,8853.24,5345.46
88.59750556732975,88.59750556732975,0.3943073924552536,53.662854169036144,3.757592235536493e-07,0.5772009053799995,222.075,8856.23,5418.05
87.3878626024568,87.3878626024568,0.3775051328445139,54.398495921718215,5.048492747636035e-07,0.8324816138512006,228.961,8737.18,5490.45
87.21472260983661,87.21472260983661,0.3667125858643073,55.231986156145155,6.189888216698273e-07,1.0689511223899828,235.655,8720.140000000001,5572.48
87.14542596959777,87.14542596959777,0.357193812409618,56.01761903345701,7.690164295184401e-07,1.3839224031300874,242.6,8713.32,5649.8
87.01140504808012,87.01140504808012,0.3492123709552072,56.62594599109618,9.2012152284708e-07,1.7147264933622377,249.323,8700.13,5709.67
86.8208900914118,86.8208900914118,0.3415090780227501,57.17076796317923,1.0974414961891321e-06,2.1160645767476005,256.174,8681.380000000001,5763.29
86.5460405139249,86.5460405139249,0.3344153099246818,57.60371955270663,1.265797512486672e-06,2.519308835580225,263.104,8654.33,5805.900000000001
86.44240037749732,86.44240037749732,0.32788350381001874,58.099363263975015,1.4505605202636198e-06,2.9734513723996328,269.879,8644.130000000001,5854.68
86.3121389511246,86.3121389511246,0.320620493039676,58.63869840530601,1.6341812890082782e-06,3.4627520776497676,276.709,8631.31,5907.759999999999
85.86668958043977,85.86668958043977,0.31471524123817396,58.84313365480827,1.8325358753509487e-06,3.9903021548037474,283.535,8587.47,5927.88
85.90469096379655,85.90469096379655,0.3096614920931995,59.303316182142126,2.02864391655251e-06,4.522522335471958,290.26,8591.210000000001,5973.17
85.80420067465255,85.80420067465255,0.30612108362178436,59.53772578482687,2.2555686041295563e-06,5.112655032881783,297.202,8581.32,5996.24
85.71397279117443,85.71397279117443,0.3018675632042954,59.83970469214332,2.470318828837289e-06,5.713133552117756,304.077,8572.44,6025.96
85.36901370963358,85.36901370963358,0.2958853234123816,60.10957547876261,2.6896728366754283e-06,6.4005814742042455,310.76,8538.49,6052.52
85.3817147067448,85.3817147067448,0.2927721859923893,60.38432344827259,2.9214143337340403e-06,7.05704152207592,317.757,8539.74,6079.5599999999995
85.49714136849161,85.49714136849161,0.2902460568705517,60.68193321258279,3.163787388197663e-06,7.736575642776073,324.468,8551.1,6108.85
85.26171568603796,85.26171568603796,0.28741274591085686,60.75641185964301,3.408147992417071e-06,8.449878629248943,331.435,8527.93,6116.18
85.03360577792039,85.03360577792039,0.2828353131895667,60.983099256084124,3.6530840815924385e-06,9.262856436570532,337.981,8505.48,6138.49
84.93220101698438,84.93220101698438,0.28072169909291766,61.08988923979529,3.890090610221863e-06,9.967372574105259,344.969,8495.5,6163.22
84.92325951501806,84.92325951501806,0.2789445891192657,61.234375782932574,4.15119492933933e-06,10.730595545414932,351.857,8494.619999999999,6175.7
84.37914879877324,84.37914879877324,0.2735664025821264,61.2958486089509,4.394285825235943e-06,11.668672870566445,358.96,8441.07,6149.0
