sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
0.0,0.4000431116566463,3.4742844284836187,2.9468096402573667,4.838228697266157,2.9381796577737136,2.8145667683156823
0.0,0.9429587631906663,3.4002335699098074,2.9149345195220113,4.698251043389506,2.870558977698856,2.663117813969225
0.0,1.4858744147246863,3.319505235108891,2.9087823139106117,4.533719372112587,2.8456650822123897,2.4904075921008832
0.0,2.0287900662587064,3.230833594316927,2.9062905845680964,4.338241249474009,2.8306679516891715,2.2911267352492946
0.07142857142857142,0.9429587631906663,3.4004898894129933,2.914931811407867,4.698559696983768,2.870554222433001,2.6634426286321298
0.07142857142857142,1.4858744147246863,3.320212522404787,2.9087623415671944,4.534588355604009,2.845619151295792,2.491288589081985
0.07142857142857142,2.0287900662587064,3.2323248631174897,2.9062506078268138,4.340105271187361,2.8305709310149965,2.2929436020584437
0.07142857142857142,2.5717057177927263,3.1353151647575337,2.903978551498248,4.11259072811947,2.818560786684907,2.0681336248234286
0.0,2.5717057177927263,3.1325815023007344,2.9040389867723215,4.1094187229927535,2.8187116284329683,2.0651775902118943
0.0,3.114621369326746,3.022598881458097,2.9013752229173084,3.8758728825751585,2.807770650008626,1.8410349539865911
0.0,3.6575370208607665,2.8980290019436614,2.898197837100195,3.7670117964009835,2.7970886559954544,1.7265602665167796
0.0,4.200452672394786,2.75508093363176,2.8945250558679207,3.9021370804818543,2.7863292430942352,1.82333548086299
0.0,4.743368323928806,2.588939236253311,2.890395099480696,4.147206081601719,2.775319039911711,2.0335594992075436
0.0,5.286283975462826,2.3947016205532883,2.885842189304078,4.3824660835482,2.7639556065170883,2.2469401804122926
0.0,5.8291996269968465,2.1734749179646706,2.8808918613306966,4.584048411673338,2.752169948029047,2.4333924191376566
0.0,6.372115278530867,1.9588741058246535,2.875561263062405,4.7551831522495664,2.7399096606042215,2.592427609769837
0.07142857142857142,3.114621369326746,3.027205445380892,2.9012959146918766,3.878758581316417,2.8075687905257882,1.8436668404330063
0.07142857142857142,3.6575370208607665,2.9053716407904866,2.8981032479085735,3.7623551702664515,2.7968435651213164,1.7230468761923392
0.07142857142857142,4.200452672394786,2.7663120926359963,2.894420864428061,3.8871880384616793,2.7860536775211977,1.8107862298165127
0.07142857142857142,4.743368323928806,2.6054516280896802,2.8902892421610873,4.128104119393638,2.775031034282742,2.016664939571625
0.0,6.915030930064887,1.8677057071847505,2.869860512820321,4.902297351631159,2.727130712495184,2.7289012483826065
0.0,7.457946581598906,1.9886726985995091,2.8637940505258754,5.030752671717633,2.713793149596706,2.8474984962508625
0.0,8.000862233132926,2.209569111488147,2.8573617320213662,5.144544377152703,2.6998587108904357,2.9518996468465164
0.07142857142857142,0.4000431116566463,3.4743297592037177,2.946816853555233,4.838284183443624,2.9381932849824346,2.8146275846813973
0.14285714285714285,3.6575370208607665,2.912575420155695,2.898008894574874,3.7581386802057457,2.7965991626792617,1.7198887931990952
0.14285714285714285,4.200452672394786,2.777305393050112,2.8943165420119725,3.8725617568841266,2.785777884113729,1.7985436757098447
0.14285714285714285,4.743368323928806,2.6216469619027367,2.890182480533679,4.109117816694873,2.77474084768158,1.9998952392641722
0.14285714285714285,5.286283975462826,2.4402351131355746,2.8856457140943514,4.342054334796123,2.763396648182009,2.210576186917189
0.07142857142857142,5.286283975462826,2.4174951192354124,2.8857451056383474,4.36222029367452,2.7636789978864247,2.2287228870694653
0.07142857142857142,5.8291996269968465,2.1998369274117993,2.8808168043649727,4.563253355659163,2.751935066683789,2.41467206504631
0.07142857142857142,6.372115278530867,1.9696862144587122,2.875524669772929,4.73380100218453,2.7397541628428455,2.5733057848277365
0.07142857142857142,6.915030930064887,1.8150181340912024,2.869882433289165,4.88016610797796,2.7271005442377336,2.7093009719719943
0.14285714285714285,5.8291996269968465,2.2282744797300706,2.880737094364042,4.5425760200936125,2.751688486755574,2.396038569949043
0.14285714285714285,6.372115278530867,1.991542429296182,2.8754797123461273,4.712603285869605,2.739577539493229,2.5543153391096673
0.14285714285714285,6.915030930064887,1.7863010345272579,2.869890344854049,4.858303373176223,2.7270349283958653,2.6898912115742863
0.14285714285714285,7.457946581598906,1.756448787176358,2.863980888855401,4.985021173000421,2.714037596913194,2.807383384594118
0.07142857142857142,7.457946581598906,1.8684163369399347,2.863898636861588,5.007702768204795,2.71394363643929,2.827310556350034
0.07142857142857142,8.000862233132926,2.07222287043189,2.8575777895802474,5.12042174330485,2.700255773316213,2.931019491485712
0.14285714285714285,0.4000431116566463,3.4743750311715584,2.9468240703890123,4.838339620567468,2.9382069205793657,2.814688349031806
0.14285714285714285,0.9429587631906663,3.4007453319404615,2.914929148019442,4.69886763148826,2.870549585481411,2.663766728663867
0.14285714285714285,1.4858744147246863,3.3209156314641914,2.9087425005851264,4.535453922689719,2.845573572569824,2.492166403379462
0.14285714285714285,2.0287900662587064,3.233803050455544,2.9062108699969462,4.341959956885663,2.8304745525618236,2.2947525282516845
0.14285714285714285,2.5717057177927263,3.1380160012096843,2.903918446147832,4.1157568782481,2.8184108362707128,2.0710871288474046
0.14285714285714285,3.114621369326746,3.0317405717602166,2.9012169598975888,3.8817574231923624,2.8073679003928835,1.8463948643381038
0.14285714285714285,8.000862233132926,1.9271004549482693,2.8577595382652965,5.096784122545642,2.7005660813923535,2.910481153340308
0.21428571428571427,0.4000431116566463,3.474420244490193,2.9468312907526437,4.838395008701164,2.9382205645476436,2.8147490614312694
0.21428571428571427,0.9429587631906663,3.4009999014587433,2.9149265292714723,4.699174849296328,2.8705450666082153,2.664090116263121
0.21428571428571427,1.4858744147246863,3.3216145946138287,2.9087227908621136,4.536316090373626,2.845528345804619,2.493041048644753
0.21428571428571427,4.200452672394786,2.7880603355894764,2.894212136131651,3.85827252745789,2.7855019984893974,1.7866185092909252
0.21428571428571427,4.743368323928806,2.637498197950383,2.8900749165253217,4.090251522679318,2.774448769144199,1.9832556746749845
0.21428571428571427,5.286283975462826,2.462741133353175,2.885544222015467,4.321963921201742,2.7631091422773135,2.1924980567675316
0.21428571428571427,5.8291996269968465,2.2578812943806303,2.880653134435527,4.522006369542946,2.7514313399005452,2.3774850270660783
0.21428571428571427,2.0287900662587064,3.235268304338974,2.906171371552974,4.343805325201326,2.8303788178762854,2.2965535133316766
0.21428571428571427,2.5717057177927263,3.14068449799123,2.903858673320444,4.118916445894247,2.8182617849884326,2.074037430341097
0.21428571428571427,3.114621369326746,3.0362054794585314,2.9011383666394157,3.884862416398831,2.8071680032940245,1.8492137009757155
0.21428571428571427,3.6575370208607665,2.9196424042953097,2.8979147977770143,3.754357280622288,2.7963555082361755,1.717081099310943
0.21428571428571427,6.372115278530867,2.021460425032013,2.875427143542036,4.691574001690521,2.739381893741025,2.535444805191203
0.21428571428571427,6.915030930064887,1.7823949322205213,2.8698856029678894,4.836685415554005,2.7269376330006674,2.6706549902821104
0.21428571428571427,7.457946581598906,1.6628334362829365,2.8640431678281812,4.962673675916968,2.7140815593013117,2.78769280925693
0.21428571428571427,8.000862233132926,1.775409375168718,2.857910969776786,5.073583170641847,2.700800604200013,2.8902509935209673
0.2857142857142857,0.4000431116566463,3.474465399262457,2.9468385146400715,4.83845034790808,2.938234216870425,2.814809721944052
0.2857142857142857,0.9429587631906663,3.401253601913436,2.9149239550784825,4.699481352791878,2.870540665576791,2.664412793620951
