B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
1e-06,0.5,7.573613797244306,6.826444537638122,10.29632813215631
1e-06,1.3625,6.684135035262183,6.924923479786201,9.306299048879366
1e-06,2.225,6.081969681587369,6.954024271013485,8.028799676841082
1e-06,3.0875000000000004,5.9085752121248625,6.968014636488703,5.906890248912373
1e-06,3.95,6.080433041653189,6.976274547243693,5.808217330163685
1e-06,4.8125,6.359264297135583,6.981734027852399,7.433164135081736
1e-06,5.675000000000001,6.625380382792988,6.985607703363783,8.237231676986589
1e-06,6.5375000000000005,6.851557656713625,6.98849392966989,8.738005273160832
1e-06,7.4,7.03919353338018,6.99072319930836,9.088847814918969
0.250000875,0.5,7.460973226640276,4.510334912037744,10.3019735851651
0.250000875,1.3625,6.262582997317477,2.5968545488375034,9.270317797779835
0.250000875,2.225,4.9981347300983385,2.8622426389807356,7.8547730417642025
0.250000875,3.0875000000000004,3.3682956082685873,3.3355962832850343,4.9573665573061465
0.250000875,3.95,2.16909283344723,3.7292301349981045,6.438077796702356
0.250000875,4.8125,3.5638287430452813,4.06051351203828,7.885837648172018
0.250000875,5.675000000000001,4.472735610856464,4.340800395773012,8.615057049021324
0.250000875,6.5375000000000005,5.046127565234262,4.5783563058424335,9.080490851128303
0.250000875,7.4,5.451560889931873,4.780568024158456,9.411623497401
0.50000075,0.5,7.408032908243765,6.500684787401036,10.308042159806432
0.50000075,1.3625,6.027125856990381,5.595730155095858,9.261914465805358
0.50000075,2.225,4.663347900966379,5.441987584362052,7.782266375643737
0.50000075,3.0875000000000004,4.08317667468763,5.615384482216464,4.6438041047132
0.50000075,3.95,4.537848154786178,5.855030141906476,6.8056213297850565
0.50000075,4.8125,5.049482915956088,6.079803397415742,8.120671072699084
0.50000075,5.675000000000001,5.438466312342962,6.274349076138637,8.810853140741065
0.50000075,6.5375000000000005,5.736872684752184,6.4399868110476595,9.258530386838029
0.50000075,7.4,5.975319743792385,6.581257333656675,9.579793467675588
0.7500006250000001,0.5,7.375743423125072,7.262114807367895,10.3128334468243
0.7500006250000001,1.3625,5.882088768825645,6.796402275383022,9.262305613891266
0.7500006250000001,2.225,4.913045857518087,6.753994118642913,7.7489095585537235
0.7500006250000001,3.0875000000000004,5.254352121676479,6.859293703208133,4.591438337843287
0.7500006250000001,3.95,5.753136238773487,7.001244004420034,7.006454478550603
0.7500006250000001,4.8125,6.107397590291982,7.141966919486404,8.258763150027248
0.7500006250000001,5.675000000000001,6.360450835570707,7.2703848490387575,8.930329903241494
0.7500006250000001,6.5375000000000005,6.552077060085962,7.384464465970748,9.369773529560632
0.7500006250000001,7.4,6.705029233316209,7.485054319650616,9.686653900425588
1.0000005,0.5,7.353681906002825,7.673815303426466,10.316572009811473
1.0000005,1.3625,5.792595431673336,7.398426219193778,9.266155945909551
1.0000005,2.225,5.282438672476895,7.406030462260861,7.735097714969333
1.0000005,3.0875000000000004,5.9071930546286975,7.502999293973827,4.607169620813833
1.0000005,3.95,6.397102052273397,7.620696381192939,7.1248798715652395
1.0000005,4.8125,6.717484746896401,7.73593737280543,8.346261146719216
1.0000005,5.675000000000001,6.939467190072075,7.841646510001658,9.008952066059274
1.0000005,6.5375000000000005,7.103559512716112,7.936414227968975,9.444795909243549
1.0000005,7.4,7.231563922740582,8.020769315087332,9.759994561628371
1.250000375,0.5,7.337553661053744,7.93704455208439,10.319538048617666
1.250000375,1.3625,5.739137855208083,7.778692630081141,9.271402993901027
1.250000375,2.225,5.60513115347388,7.820279256860031,7.732111480218402
1.250000375,3.0875000000000004,6.336376794014259,7.91903629012929,4.627335863247052
1.250000375,3.95,6.821890258323782,8.02822658015082,7.1968838629685195
1.250000375,4.8125,7.132202201222918,8.132608631872465,8.403698302367674
1.250000375,5.675000000000001,7.3451928727278935,8.227756909460645,9.06271404360757
1.250000375,6.5375000000000005,7.501007717382284,8.313035111809178,9.497459494301374
1.250000375,7.4,7.6209904797587855,8.389094668148562,9.81244050079011
1.50000025,0.5,7.325208873742859,8.121626238646913,10.32193791279442
1.50000025,1.3625,5.709400949582062,8.046287585955577,9.277134341561348
1.50000025,2.225,5.866435033065384,8.114253803973343,7.73544461645214
1.50000025,3.0875000000000004,6.64758292576737,8.217737217947263,4.637427410073426
1.50000025,3.95,7.132626884957435,8.32406627485461,7.240202963069881
1.50000025,4.8125,7.440792948937308,8.423254607184607,8.441756596398402
1.50000025,5.675000000000001,7.652045876818552,8.512810834653415,9.100107312904845
1.50000025,6.5375000000000005,7.806112670859925,8.592787175511642,9.535202431559224
1.50000025,7.4,7.924075980477888,8.664047892248087,9.850810302746838
1.750000125,0.5,7.315437361805381,8.258942885863602,10.323915240225048
1.750000125,1.3625,5.695315972265727,8.247071394404374,9.28291881127128
1.750000125,2.225,6.077984654407484,8.33678470594551,7.742554817036257
1.750000125,3.0875000000000004,6.887262288967145,8.445938772277893,4.636845880696224
1.750000125,3.95,7.374136073129842,8.551933795275392,7.264636401161805
1.750000125,4.8125,7.6835133048855715,8.648642563197216,8.466609618798875
1.750000125,5.675000000000001,7.896024002164991,8.73508401524525,9.126133173578939
1.750000125,6.5375000000000005,8.051061158476605,8.811907120479448,9.562453097944168
