sigma,vial_number,time_min,mass_g,permeate_concentration_mM,retentate_concentration_mM
0.1,1,0.0,1e-06,1.8971007608000001,15.20517956
0.1,1,0.39721825,0.03625762349406236,1.8073586780683057,15.48786203660187
0.1,1,0.7944484166666667,0.07249747234698715,1.7330058586562904,15.770299027272692
0.1,1,1.1916666666666667,0.10871905195178595,1.6719363915090268,16.05248325066605
0.1,1,1.5888849166666668,0.14492403696215359,1.622328503158927,16.334431532498897
0.1,1,1.9861150833333334,0.18111402096725357,1.5826118838606338,16.616159545914545
0.1,1,2.3833333333333333,0.21728727325093805,1.5514348383482284,16.897656652572007
0.1,1,2.7805515833333336,0.2534452607990615,1.5276282201450448,17.178936725571667
0.1,1,3.17778175,0.2895893980126802,1.5101839210322627,17.460012890364474
0.1,1,3.575,0.3257178034665942,1.4982331912290696,17.74087236583161
0.1,1,3.9722182499999996,0.36183181039481405,1.4910250348081995,18.02152712339284
0.1,1,4.369448416666668,0.39793271769323313,1.4879117471816778,18.30198864624936
0.1,1,4.766666666666667,0.4340185479307812,1.4883343177839312,18.582242788273117
0.1,1,5.1638849166666665,0.4700905479655727,1.4918100516704775,18.862300292793368
0.1,1,5.561115083333333,0.5061499420252259,1.4979225818192148,19.142171581379507
0.1,1,5.958333333333333,0.5421946917633623,1.506311782392165,19.421841641811028
0.1,1,6.355551583333333,0.5782259880675341,1.5166672925843616,19.70132042162903
0.1,1,6.7527817500000005,0.6142450067151525,1.5287213808563496,19.980617653538985
0.1,1,7.15,0.6502496709776314,1.5422417393834804,20.259717779603033
0.1,1,7.54721825,0.6862411353051804,1.557028790789873,20.538630229296988
0.1,1,7.944448416666666,0.7222205438729427,1.5729103747959623,20.817364286006004
0.1,1,8.341666666666665,0.7581857960508429,1.5897363869071082,21.095904051961398
0.1,1,8.738884916666667,0.7941380224103695,1.6073785128587097,21.374258617131876
0.1,1,9.136115083333333,0.8300783463590767,1.6257260819924126,21.652436969629488
0.1,1,9.533333333333333,0.8660046526768496,1.6446818882290892,21.930423004244712
0.1,1,9.930551583333333,0.9019180561362651,1.6641634839773911,22.208225586317695
0.1,1,10.327781749999998,0.9378196663494057,1.6840997815062662,22.48585350781679
0.1,1,10.725,0.973707359496304,1.7044276327268721,22.763290541259952
0.1,1,11.12221825,1.0095822397520626,1.7250941254983412,23.040545401312702
