dataset_id,metric,paper_value,paper_units,target_id,notes,unified_value,param_rel_primary_limit,param_rel_with_expl_limit,objective_rel_limit,relative_error,status
DATA1_511.12,objective,1374169.294771704,,D1-M-T1,Legacy baseline from DATA1_matlab/data_library/511.12/fit_stru.mat,14654.457932454803,0.05,0.07,0.05,0.9893357696259037,FAIL
DATA1_511.12,theta.B,0.3074072904020317,um/s,D1-M-T1,Legacy baseline from DATA1_matlab/data_library/511.12/fit_stru.mat,1e-06,0.05,0.07,0.05,0.9999967469867137,FAIL
DATA1_511.12,theta.Lp,3.679272964056146,L/m^2/bar/h,D1-M-T1,Legacy baseline from DATA1_matlab/data_library/511.12/fit_stru.mat,2.2621347739037305,0.05,0.07,0.05,0.3851679948720407,FAIL
DATA1_511.12,theta.sigma,0.9999999978935008,dimensionless,D1-M-T1,Legacy baseline from DATA1_matlab/data_library/511.12/fit_stru.mat,0.9989999979357562,0.05,0.07,0.05,0.0009999999598510787,PASS
DATA1_511.12,theta.sigma_logit,,,,,19.996499900925954,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270511.123,objective,462346.8611339315,,D2-M-T2,Published-era baseline from DATA2_model_demo.ipynb (mode Lag; B_form=1 empirical B model),9105.55264061191,0.05,0.07,0.05,0.9803057976466413,FAIL
DATA2_270511.123,theta.Lp,11.113241068147596,L/m^2/bar/h,D2-M-T2,Published-era baseline from run_cross_verification.py fit_stru_base,7.541911740948931,0.05,0.07,0.05,0.321358036354911,FAIL
DATA2_270511.123,theta.beta_0,1.0649294788103598,dimensionless,D2-M-T2,Published-era baseline from run_cross_verification.py fit_stru_base,50.0,0.05,0.07,0.05,45.95146579645382,FAIL
DATA2_270511.123,theta.beta_1,0.0151714212246034,dimensionless,D2-M-T2,Published-era baseline from run_cross_verification.py fit_stru_base,0.5075338473768805,0.05,0.07,0.05,32.45328297614043,FAIL
DATA2_270511.123,theta.sigma,1.0,dimensionless,D2-M-T2,Published-era baseline from run_cross_verification.py fit_stru_base,0.001,0.05,0.07,0.05,0.999,FAIL
DATA2_270611.123,objective,,,D2-M-T2,No direct published objective found for dataset270611.123 in available local artifacts,6697.053028702141,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270611.123,theta.Lp,11.113241068147596,L/m^2/bar/h,D2-M-T2,Published-era base parameter reused for cross-verification in run_cross_verification.py,7.137485637217477,0.05,0.07,0.05,0.3577494096052049,FAIL
DATA2_270611.123,theta.beta_0,1.0649294788103598,dimensionless,D2-M-T2,Published-era base parameter reused for cross-verification in run_cross_verification.py,1.000001453000537,0.05,0.07,0.05,0.060969319660823335,PASS_WITH_EXPLANATION
DATA2_270611.123,theta.beta_1,0.0151714212246034,dimensionless,D2-M-T2,Published-era base parameter reused for cross-verification in run_cross_verification.py,0.9683187251231806,0.05,0.07,0.05,62.825182281068315,FAIL
DATA2_270611.123,theta.sigma,1.0,dimensionless,D2-M-T2,Published-era base parameter reused for cross-verification in run_cross_verification.py,0.999,0.05,0.07,0.05,0.0010000000000000009,PASS
