sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.0,0.9953388617935531,3.426390964630935,2.741663387372201,4.81243143499107
0.25,0.9953388617935531,3.4265013321587814,2.74174035741143,4.812505848682671
0.5,0.9953388617935531,3.4266114209945298,2.74181723273617,4.812580135249699
0.75,0.9953388617935531,3.426721232336987,2.741894013547123,4.812654295094946
1.0,0.9953388617935531,3.4268307673777216,2.7419707000444085,4.812728328619287
0.0,5.7231984553129305,2.6747984521098465,2.218493098461597,4.1914102584705155
0.25,5.7231984553129305,2.690298002428893,2.2208125320825873,4.197366662376124
0.5,5.7231984553129305,2.70517110887511,2.2231158831169733,4.203205420312366
0.75,5.7231984553129305,2.719449688445018,2.2254032800713675,4.208929265758777
1.0,5.7231984553129305,2.73316462918849,2.2276748460446254,4.21454095773845
0.0,10.451058048832307,2.0231360887879397,2.0303231157391615,3.742687334977215
0.25,10.451058048832307,1.8295322998197812,2.0255140481153986,3.7126160155968866
0.5,10.451058048832307,1.6096488387513663,2.021249803345431,3.6862596926137337
0.75,10.451058048832307,1.35654128537893,2.0174794285159585,3.6636329585116623
1.0,10.451058048832307,1.0740232016415578,2.0141596475318084,3.6447032593469793
0.0,15.178917642351685,3.1950358884719736,2.4018901152151213,4.477630690665966
0.25,15.178917642351685,3.0730318867694413,2.3773348056321413,4.423592409533392
0.5,15.178917642351685,2.95311203958395,2.3547878837821665,4.37131250779687
0.75,15.178917642351685,2.8338966967034462,2.333902497307889,4.320577750897085
1.0,15.178917642351685,2.7142902723016697,2.3144248376563943,4.271228821495401
0.0,19.90677723587106,3.686382245581412,2.776914320559801,4.920907416392231
0.25,19.90677723587106,3.551282412048437,2.737264258223157,4.863703819278027
0.5,19.90677723587106,3.4264761388115663,2.7021346490018505,4.809133729832767
0.75,19.90677723587106,3.308891903183469,2.670382130969273,4.756815998466267
1.0,19.90677723587106,3.1965732156717888,2.641260755292348,4.706432464270814
