Lp,B,sigma,Obj_mass,Obj_concentration,Obj_retentate_concentration
2.206896551724138,1.034483655172414,0.6666666666666666,3.106554160659624,3.2180604617341335,4.235001666658529
2.206896551724138,1.034483655172414,0.7777777777777777,3.107913067201852,3.218056858032886,4.235000784781425
2.206896551724138,1.034483655172414,0.8888888888888888,3.1092636884481455,3.218052208565966,4.235010745919509
2.206896551724138,1.034483655172414,1.0,3.11060608525471,3.218046513314428,4.235031401243177
2.206896551724138,1.3793112068965518,0.0,3.0982232926605047,3.4827055513022973,4.235413848926307
2.206896551724138,1.3793112068965518,0.1111111111111111,3.0994857534499314,3.4825764189074273,4.235421257276932
2.206896551724138,1.3793112068965518,0.2222222222222222,3.1007409214844417,3.482446644442276,4.235437632983949
2.206896551724138,1.3793112068965518,0.3333333333333333,3.1019888479002993,3.482316228723941,4.235462857392811
2.206896551724138,1.3793112068965518,0.4444444444444444,3.1032295836319213,3.4821851726022945,4.235496813015914
2.206896551724138,1.3793112068965518,0.5555555555555556,3.104463179403306,3.482053476959316,4.235539383527066
2.206896551724138,1.3793112068965518,0.6666666666666666,3.1056896857199767,3.4819211427084156,4.235590453755847
2.206896551724138,1.3793112068965518,0.7777777777777777,3.106909152861404,3.481788170793787,4.2356499096818405
2.206896551724138,1.3793112068965518,0.8888888888888888,3.108121630873888,3.4816545621897568,4.235717638428785
2.206896551724138,1.3793112068965518,1.0,3.109327169563899,3.481520317900159,4.235793528258604
2.206896551724138,1.7241387586206898,0.0,3.0982232926605047,3.653151003534871,4.235924877852682
2.206896551724138,1.7241387586206898,0.1111111111111111,3.099366066234656,3.652951869415398,4.235981783852995
2.206896551724138,1.7241387586206898,0.2222222222222222,3.1005026285167068,3.652752356865636,4.236045676521794
2.206896551724138,1.7241387586206898,0.3333333333333333,3.10163302172436,3.6525524668827645,4.236116465393769
2.206896551724138,1.7241387586206898,0.4444444444444444,3.102757287881238,3.6523522004799926,4.236194060918647
2.206896551724138,1.7241387586206898,0.5555555555555556,3.103875468812061,3.6521515586861457,4.236278374455119
2.206896551724138,1.7241387586206898,0.6666666666666666,3.104987606138126,3.6519505425452676,4.23636931826472
2.206896551724138,1.7241387586206898,0.7777777777777777,3.106093741273066,3.6517491531162416,4.236466805505687
2.206896551724138,1.7241387586206898,0.8888888888888888,3.107193915418893,3.651547391472399,4.236570750226796
2.206896551724138,1.7241387586206898,1.0,3.108288169562289,3.6513452587011495,4.236681067361165
2.206896551724138,2.068966310344828,0.0,3.0982232926605042,3.7740279869187017,4.236604095289834
2.206896551724138,2.068966310344828,0.1111111111111111,3.099267007686734,3.773788588773221,4.236693367007979
2.206896551724138,2.068966310344828,0.2222222222222222,3.1003053784069357,3.7735489931915587,4.236788190266614
2.206896551724138,2.068966310344828,0.3333333333333333,3.101338439878649,3.773309201010861,4.236888495132454
2.206896551724138,2.068966310344828,0.4444444444444444,3.102366226984763,3.773069213076222,4.2369942123828945
2.206896551724138,2.068966310344828,0.5555555555555556,3.1033887744307656,3.7728290302404486,4.2371052735005215
2.206896551724138,2.068966310344828,0.6666666666666666,3.1044061167421884,3.772588653363816,4.237221610667619
2.206896551724138,2.068966310344828,0.7777777777777777,3.105418288262222,3.772348083313843,4.237343156760694
2.206896551724138,2.068966310344828,0.8888888888888888,3.106425323149491,3.7721073209650493,4.237469845345003
2.206896551724138,2.068966310344828,1.0,3.107427255375996,3.7718663671987405,4.237601610669088
2.206896551724138,2.413793862068966,0.0,3.0982232926605047,3.864980131487089,4.237357121418759
2.206896551724138,2.413793862068966,0.1111111111111111,3.099183687239957,3.864717207522845,4.237467612946863
2.206896551724138,2.413793862068966,0.2222222222222222,3.10013944032882,3.8644542117639884,4.2375825930356195
2.206896551724138,2.413793862068966,0.3333333333333333,3.101090581241799,3.8641911448045434,4.2377020068530165
2.206896551724138,2.413793862068966,0.4444444444444444,3.1020371391412604,3.8639280072426607,4.237825800119264
2.206896551724138,2.413793862068966,0.5555555555555556,3.102979143035675,3.863664799680468,4.237953919102191
2.206896551724138,2.413793862068966,0.6666666666666666,3.1039166217781613,3.8634015227239313,4.238086310612662
2.206896551724138,2.413793862068966,0.7777777777777777,3.1048496040651528,3.8631381769826945,4.238222922000016
2.206896551724138,2.413793862068966,0.8888888888888888,3.105778118435156,3.8628747630699616,4.238363701147516
2.206896551724138,2.413793862068966,1.0,3.10670219326762,3.862611281602339,4.238508596467829
2.206896551724138,2.758621413793104,0.0,3.0982232926605047,3.936246032853461,4.238131454513511
2.206896551724138,2.758621413793104,0.1111111111111111,3.099112642254143,3.9359697778307052,4.238255747544588
2.206896551724138,2.758621413793104,0.2222222222222222,3.09999792644581,3.9356935383785983,4.238383725827563
2.206896551724138,2.758621413793104,0.3333333333333333,3.100879169928451,3.935417314857934,4.238515345779083
2.206896551724138,2.758621413793104,0.4444444444444444,3.1017563972641513,3.9351411076318854,4.238650564247181
2.206896551724138,2.758621413793104,0.5555555555555556,3.1026296328832417,3.934864917065906,4.238789338507541
2.206896551724138,2.758621413793104,0.6666666666666666,3.103498901083499,3.9345887435276405,4.238931626259784
2.206896551724138,2.758621413793104,0.7777777777777777,3.1043642260294,3.934312587386836,4.239077385623788
2.206896551724138,2.758621413793104,0.8888888888888888,3.1052256317514493,3.934036449015248,4.239226575136013
2.206896551724138,2.758621413793104,1.0,3.1060831421455757,3.9337603287865552,4.239379153745863
2.206896551724138,3.103448965517242,0.0,3.0982232926605047,3.9937707845491013,4.238897882617527
2.206896551724138,3.103448965517242,0.1111111111111111,3.0990513537018733,3.9934876963047135,4.239030946340404
2.206896551724138,3.103448965517242,0.2222222222222222,3.0998758265703925,3.993204684172633,4.239167077129083
2.206896551724138,3.103448965517242,0.3333333333333333,3.100696732218414,3.9929217483192705,4.239306239893661
2.206896551724138,3.103448965517242,0.4444444444444444,3.1015140914866337,3.992638888912666,4.2394483998838
2.206896551724138,3.103448965517242,0.5555555555555556,3.102327925103614,3.9923561061224193,4.239593522685747
2.206896551724138,3.103448965517242,0.6666666666666666,3.103138253685336,3.992073400119634,4.239741574219373
2.206896551724138,3.103448965517242,0.7777777777777777,3.1039450977348158,3.991790771076853,4.239892520735223
2.206896551724138,3.103448965517242,0.8888888888888888,3.104748477641754,3.991508219168006,4.240046328811601
2.206896551724138,3.103448965517242,1.0,3.1055484136822304,3.9912257445683483,4.240202965351662
2.206896551724138,3.44827651724138,0.0,3.0982232926605042,4.041276776334187,4.239640470730283
2.206896551724138,3.44827651724138,0.1111111111111111,3.0989979459953716,4.040991112735891,4.2397788416268885
2.206896551724138,3.44827651724138,0.2222222222222222,3.099769410406701,4.040705566833223,4.239919796031944
2.206896551724138,3.44827651724138,0.3333333333333333,3.1005377037989716,4.040420138641255,4.240063305355835
2.206896551724138,3.44827651724138,0.4444444444444444,3.101302843981613,4.040134828176398,4.240209341278559
