dataset_id,metric,paper_value,paper_units,target_id,notes,unified_value,relative_error,status
DATA1_511.12,covariance.method,,,,,,,MISSING_VALUE
DATA1_511.12,objective,,,D1-M-T1,Fill from DATA1 publication baseline,19136.780778124506,,MISSING_VALUE
DATA1_511.12,theta.B,,,D1-M-T1,Fill from DATA1 publication baseline,1e-06,,MISSING_VALUE
DATA1_511.12,theta.Lp,,,D1-M-T1,Fill from DATA1 publication baseline,2.2516926945079896,,MISSING_VALUE
DATA1_511.12,theta.sigma,,,D1-M-T1,Fill from DATA1 publication baseline,0.9989999979378459,,MISSING_VALUE
