dataset_id,metric,unified_value
DATA1_511.12,objective,19136.780778124506
DATA1_511.12,theta.Lp,2.2516926945079896
DATA1_511.12,theta.B,1e-06
DATA1_511.12,theta.sigma_logit,19.99751270937257
DATA1_511.12,theta.sigma,0.9989999979378459
DATA2_270511.123,objective,201830.61995223377
DATA2_270511.123,theta.Lp,6.491272055398294
DATA2_270511.123,theta.B,2.889562703895781
DATA2_270511.123,theta.sigma_logit,-19.99321008787239
DATA2_270511.123,theta.sigma,0.001000002071045898
DATA2_270611.123,objective,75328.214773438
DATA2_270611.123,theta.Lp,7.951854568984772
DATA2_270611.123,theta.B,19.989192605355683
DATA2_270611.123,theta.sigma_logit,0.48364739166953713
DATA2_270611.123,theta.sigma,0.6183715649429093
