sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
0,0.366,-0.692314665611769,0.673393958984122,3.01044147023239
0,0.507918367346939,-0.80135547250064,0.6220206626612,2.92731585214793
0,0.649836734693878,-0.918386672987408,0.620239313842114,2.83533025891188
0,0.791755102040816,-1.04036774614941,0.638908460615518,2.73274206901735
0,0.933673469387755,-1.15898221317294,0.663987763786168,2.61717217391743
0,1.07559183673469,-1.25697274135397,0.68962303007362,2.48541094541968
0,1.21751020408163,-1.3088912558174,0.713627641772147,2.33321535218531
0,1.35942857142857,-1.29551306471885,0.735344285779387,2.15545832804715
0,1.50134693877551,-1.2222334481454,0.75472586270151,1.94837520148497
0,1.64326530612245,-1.11336224409188,0.771950659846231,1.72158698921556
0,1.78518367346939,-0.991924689380846,0.787263083670597,1.5403956968202
0,1.92710204081633,-0.871280725332668,0.800909553247921,1.54291093476679
0,2.06902040816327,-0.757227906199259,0.813114749545608,1.72665221781598
0,2.2109387755102,-0.651581812867246,0.824074894380997,1.95360156883672
0,2.35285714285714,-0.554403484121656,0.833957982196241,2.16030140500057
0,2.49477551020408,-0.465081511320872,0.842906585963841,2.33771547074927
0,2.63669387755102,-0.382807320368304,0.851041351055787,2.48971175284939
0,2.77861224489796,-0.306770175221352,0.858464402019994,2.62142244547997
0,2.9205306122449,-0.236229307593479,0.865262373692115,2.73708866087314
0,3.06244897959184,-0.170533872139253,0.87150899881298,2.83993301059011
0,3.20436734693878,-0.109121758366317,0.877267269896339,2.93237448355813
0,3.34628571428571,-0.0515107210395098,0.882591224620628,3.01624402081023
0,3.48820408163265,0.00271244637715645,0.88752741644682,3.0929477714804
0,3.63012244897959,0.0539023785816101,0.892116120430258,3.16358294791102
0,3.77204081632653,0.102364421711189,0.896392327073043,3.22901903839162
0,3.91395918367347,0.148362548519176,0.900386558319967,3.28995505994409
0,4.05587755102041,0.192125978910904,0.904125543480903,3.34696042343459
0,4.19779591836735,0.233854668202151,0.907632781372491,3.40050453350538
0,4.33971428571429,0.273723841562308,0.910929003047581,3.4509785555419
0,4.48163265306122,0.311887740064071,0.914032563539486,3.49871166003156
0,4.62355102040816,0.348482721127058,0.916959768011652,3.54398331578288
0,4.7654693877551,0.383629832342697,0.919725146863678,3.58703271539108
