sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
0.0,5.489953194491583,1.973559356516419,1.9653895615737205,3.996707045134424,2.6439696711535716,1.9099788718452824
0.0,6.118321331210499,2.1987683399665223,2.0582460907435545,4.079696708385929,2.7398902526760534,1.9752417146148942
0.0,6.746689467929415,2.4916650530648305,2.1599979044406843,4.17604365960575,2.8234756292074663,2.057118656747707
0.0,7.375057604648331,2.7408534364647834,2.2604125668119943,4.273619970904084,2.897109282820707,2.1435884042773194
0.0,2.9764806476159187,2.8576919992290426,2.029480352509773,4.111081312286726,2.0798963842533746,2.0651824752926777
0.0,3.604848784334835,2.635108508864707,1.9311376994536442,4.008142606252723,2.250339732819693,1.9611841183482326
0.0,4.23321692105375,2.3633988320320265,1.8845095902381195,3.9485185954861235,2.402423687945872,1.8946730618919487
0.0,4.8615850577726665,2.073261828488893,1.8998915783899104,3.94642944696517,2.532672614356222,1.8782162002489133
0.0,0.463008100740254,3.4407146447285655,2.56606894275012,4.622016764595925,2.2064818011946508,2.5814992646543558
0.0,1.09137623745917,3.325696007893989,2.432987205546031,4.497870703890747,1.9793144732736025,2.453062566840597
0.0,1.7197443741780862,3.1940207236124296,2.2951463693424183,4.368110264557922,1.8615624343431576,2.321337875251007
0.0,2.3481125108970025,3.0405211279349866,2.157108715451978,4.23634063358439,1.9208618975752376,2.1895888011207147
0.07142857142857142,3.604848784334835,2.6362418080673113,1.9312242899175303,4.0082536537743305,2.249785768214394,1.9613012171434414
0.07142857142857142,4.23321692105375,2.3652035571867835,1.8843959794703415,3.9483943718643655,2.401760267526328,1.8945986858478467
0.07142857142857142,4.8615850577726665,2.074567536977193,1.8994477572212733,3.945872381667437,2.5319154697690793,1.8777744319822638
0.07142857142857142,5.489953194491583,1.9695709725067174,1.9645902185243653,3.995639792563303,2.643126805891953,1.9090776524072113
0.0,8.003425741367247,2.944115424634519,2.3550628765250274,4.3665815030834905,2.9626257881714473,2.2280677163048708
0.0,8.631793878086164,3.112645075569031,2.442551679335538,4.452718958291169,3.0214406372391434,2.307588604510909
0.0,9.26016201480508,3.255564858395847,2.522845805047744,4.531583086142399,3.0746565845619904,2.3811362846454385
