Lp,B,sigma,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.5,5.689655793103449,0.2222222222222222,3.4619531170942643,2.8249109396210357,4.859014204429415
0.5,5.689655793103449,0.3333333333333333,3.461971315903328,2.824925629366771,4.859031674670512
0.5,5.689655793103449,0.4444444444444444,3.461989503037784,2.8249403140574856,4.859049137076146
0.5,5.689655793103449,0.5555555555555556,3.4620076785104503,2.8249549936961973,4.859066591652712
0.5,5.689655793103449,0.6666666666666666,3.462025842334126,2.82496966828592,4.859084038406601
0.5,5.689655793103449,0.7777777777777777,3.4620439945215895,2.8249843378296666,4.859101477344192
0.5,5.689655793103449,0.8888888888888888,3.4620621350855996,2.824999002330448,4.859118908471859
0.5,5.689655793103449,1.0,3.462080264038894,2.8250136617912696,4.859136331795968
0.5,6.206897137931034,0.0,3.4619166844009412,2.8225473678046886,4.859043399839594
0.5,6.206897137931034,0.1111111111111111,3.461933522122398,2.8225614238278722,4.859059574665408
0.5,6.206897137931034,0.2222222222222222,3.461950349797159,2.8225754752696335,4.859075742736778
0.5,6.206897137931034,0.3333333333333333,3.461967167435519,2.8225895221325885,4.859091904058853
0.5,6.206897137931034,0.4444444444444444,3.46198397504776,2.822603564419351,4.859108058636778
0.5,6.206897137931034,0.5555555555555556,3.4620007726441466,2.8226176021325315,4.859124206475689
0.5,6.206897137931034,0.6666666666666666,3.462017560234932,2.8226316352747403,4.859140347580718
0.5,6.206897137931034,0.7777777777777777,3.4620343378303517,2.822645663848583,4.859156481956992
0.5,6.206897137931034,0.8888888888888888,3.4620511054406267,2.822659687856665,4.859172609609629
0.5,6.206897137931034,1.0,3.462067863075966,2.8226737073015893,4.8591887305437425
0.5,6.724138482758621,0.0,3.4619166844009412,2.820528877496043,4.859098724605667
0.5,6.724138482758621,0.1111111111111111,3.461932333074057,2.8205423275022006,4.859113771121868
0.5,6.724138482758621,0.2222222222222222,3.4619479730272342,2.8205557733501685,4.859128811764065
0.5,6.724138482758621,0.3333333333333333,3.4619636042688433,2.8205692150422137,4.859143846536454
