dataset_id,metric,unified_value
DATA2_270511.123,objective,403661.23990446766
DATA2_270511.123,theta.Lp,6.491272055398287
DATA2_270511.123,theta.B,2.889562703895721
DATA2_270511.123,theta.sigma_logit,-19.99321008787239
DATA2_270511.123,theta.sigma,0.001000002071045898
DATA2_270611.123,objective,150656.42954687614
DATA2_270611.123,theta.Lp,7.951854568984934
DATA2_270611.123,theta.B,19.98919260535834
DATA2_270611.123,theta.sigma_logit,0.48364739167001747
DATA2_270611.123,theta.sigma,0.6183715649430225
