B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.0,0.5,-1.0702416833186676,-0.3458280168000581,0.27737491493106153
0.0,0.6408163265306123,-1.1042398868764325,-0.29070136182711687,0.2488832269807997
0.0,0.7816326530612245,-1.1395348589272387,-0.2515678117908729,0.21886285750573836
0.0,0.9224489795918367,-1.1762352260707538,-0.22307376649086094,0.18716191807085522
0.0,1.063265306122449,-1.21446090676251,-0.20183429263182842,0.15360777374195128
0.0,1.2040816326530612,-1.2543459457244492,-0.18565987942685042,0.11800221616153998
0.0,1.3448979591836734,-1.2960415671544927,-0.17309927999386207,0.08011556715868319
0.0,1.4857142857142858,-1.3397196746324718,-0.163168391056808,0.03967925772767604
0.0,1.626530612244898,-1.3855770237711083,-0.15518592600055794,-0.003623727716914296
0.0,1.76734693877551,-1.4338403220625455,-0.1486713009154426,-0.05017140170526141
0.0,1.9081632653061225,-1.4847725671987022,-0.1432796474991591,-0.10041957582937162
0.0,2.0489795918367344,-1.538681023727241,-0.13875955074303467,-0.1549248043566381
0.0,2.1897959183673468,-1.5959273621033638,-0.13492501941594387,-0.21437641423377038
0.0,2.330612244897959,-1.6569406571831982,-0.13163656541360486,-0.27964231954291274
0.0,2.4714285714285715,-1.7222341617111163,-0.1287882246872939,-0.35183644102283695
0.0,2.6122448979591835,-1.79242703234508,-0.12629852286074547,-0.43242123557304446
0.0,2.753061224489796,-1.8682724176810492,-0.12410409743252783,-0.5233698870643378
0.0,2.8938775510204082,-1.9506933094555485,-0.12215513931480917,-0.6274353142274988
0.0,3.03469387755102,-2.0408266144365688,-0.1204120945291836,-0.7486233716388934
0.0,3.1755102040816325,-2.140072035563439,-0.11884325008535078,-0.8930900064668544
0.0,3.316326530612245,-2.250129653704594,-0.11742294844875961,-1.0710190365349643
0.0,3.457142857142857,-2.3729709013550986,-0.11613025295321953,-1.3011336936409228
0.0,3.5979591836734692,-2.510568100919918,-0.11494794049001304,-1.6240526727898084
0.0,3.7387755102040816,-2.6638478942007886,-0.11386173425580555,-2.159358593589271
0.0,3.8795918367346935,-2.829334048494539,-0.11285971390057815,-3.672991661205135
0.0,4.020408163265306,-2.9901337540334243,-0.11193185847544303,-2.355545373269709
0.0,4.161224489795918,-3.1017276349783147,-0.11106968918661561,-1.6908291524448877
0.0,4.302040816326531,-3.105787849568881,-0.11026598808385293,-1.3094292537252106
0.0,4.442857142857143,-3.0005804488946413,-0.10951457492201427,-1.0390453945353806
0.0,4.5836734693877546,-2.843623479786666,-0.10881012890618452,-0.828160698775634
0.0,4.724489795918367,-2.6807412505648385,-0.10814804528812101,-0.6543839818288741
0.0,4.865306122448979,-2.5297191677733846,-0.10752431930571923,-0.5059498590927524
0.0,5.006122448979592,-2.394366613473993,-0.10693545169062939,-0.37590646441379033
0.0,5.146938775510204,-2.2738516563526026,-0.10637837123956695,-0.25980210943154675
0.0,5.2877551020408164,-2.1662178011626807,-0.10585037103348957,-0.15461322953177195
0.0,5.428571428571429,-2.0694868382879,-0.10534905562997736,-0.058191682374706996
0.0,5.56938775510204,-1.9819473436615571,-0.1048722971079557,0.031044157002155223
0.0,5.710204081632653,-1.902189053191062,-0.10441819829867809,0.1142930061086122
0.0,5.851020408163265,-1.829066540883546,-0.10398506188710367,0.1924855226014144
0.0,5.9918367346938775,-1.7616503414554618,-0.10357136435142728,0.26635901220343045
0.0,6.13265306122449,-1.6991825691602134,-0.10317573383722912,0.33650792244206157
0.0,6.273469387755102,-1.6410407118991421,-0.10279693135043516,0.40341881212261166
0.0,6.414285714285714,-1.5867092443476116,-0.10243383469035182,0.46749524521738245
