sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.0,0.5,-1.0781662257428115,0.48095866870969994,0.3452973123263425
0.0,0.6408163265306123,-1.1150273725847162,0.37178338129214755,0.32319775248212906
0.0,0.7816326530612245,-1.1535033935147103,0.26695875525323215,0.29944206271247725
0.0,0.9224489795918367,-1.1937403370056827,0.1659957566894774,0.27398043575277337
0.0,1.063265306122449,-1.235904685853556,0.06839679610610602,0.24673210050928587
0.0,1.2040816326530612,-1.280187281387948,-0.026311442002117227,0.21758596888146323
0.0,1.3448979591836734,-1.3268082136981643,-0.11856701355583601,0.18639952233411686
0.0,1.4857142857142858,-1.376022968340869,-0.20877101267177722,0.1529959957560897
0.0,1.626530612244898,-1.4281302221741599,-0.29728979870501276,0.11715975123887964
0.0,1.76734693877551,-1.4834818229864808,-0.3844586716992389,0.07862951734886371
0.0,1.9081632653061225,-1.54249568492059,-0.47058585791618346,0.03708895915846653
0.0,2.0489795918367344,-1.6056726034908926,-0.5559561901664867,-0.007846313362082245
0.0,2.1897959183673468,-1.6736183588611353,-0.6408341975129503,-0.056646635121204644
0.0,2.330612244897959,-1.7470729350545258,-0.7254663780256294,-0.10989319300849894
0.0,2.4714285714285715,-1.8269491635796444,-0.8100824072679856,-0.16831330260450297
0.0,2.6122448979591835,-1.9143832832060588,-0.8948949730737741,-0.23283147893229778
0.0,2.753061224489796,-2.010798690497005,-0.9800978255380579,-0.30464542909142045
0.0,2.8938775510204082,-2.117977963847803,-1.0658612415582933,-0.3853430641557851
0.0,3.03469387755102,-2.2381155512570894,-1.1523240151408385,-0.4770900221348464
0.0,3.1755102040816325,-2.373746487758811,-1.2395804848196001,-0.5829454865359769
0.0,3.316326530612245,-2.5271892337709434,-1.327659966769159,-0.7074289301720689
0.0,3.457142857142857,-2.6983028692119726,-1.416496384777771,-0.8576203811270845
0.0,3.5979591836734692,-2.877042822744021,-1.5058836216434721,-1.0455385116269287
0.0,3.7387755102040816,-3.025516714069608,-1.5954126561161885,-1.2941135316131778
0.0,3.8795918367346935,-3.0705305671561733,-1.6843869599291812,-1.6560702971773675
0.0,4.020408163265306,-2.979330018080493,-1.7717186245214254,-2.302795618808597
0.0,4.161224489795918,-2.812796001982166,-1.8558181575372674,-3.128305726695827
0.0,4.302040816326531,-2.634419318566652,-1.9345175923984783,-1.9691363198826837
0.0,4.442857142857143,-2.4693394827486053,-2.0050968919785337,-1.4379913641975957
0.0,4.5836734693877546,-2.3225583602427986,-2.0645122643151548,-1.0987795927251747
0.0,4.724489795918367,-2.192853184815532,-2.1098871169031796,-0.8471957303225299
0.0,4.865306122448979,-2.0776989325446378,-2.1391899201356663,-0.6456388280860024
0.0,5.006122448979592,-1.9746584189577507,-2.151829544429959,-0.47635460175682554
0.0,5.146938775510204,-1.8816888219345678,-2.148840070566845,-0.32955301642705714
0.0,5.2877551020408164,-1.7971461211147446,-2.132540149885145,-0.19925906854256442
0.0,5.428571428571429,-1.7197192911892174,-2.105874512283689,-0.081553884036573
0.0,5.56938775510204,-1.6483598722048591,-2.0717738022207306,0.02627591746507292
0.0,5.710204081632653,-1.5822229438596231,-2.03274630556033,0.12619057664445338
0.0,5.851020408163265,-1.5206211553341487,-1.9907230676483505,0.2196559960597281
0.0,5.9918367346938775,-1.4629897943829746,-1.9470736155411779,0.30780067409755485
0.0,6.13265306122449,-1.4088603941497415,-1.9027001094095277,0.39151546964447964
0.0,6.273469387755102,-1.3578407349242612,-1.8581489153123956,0.4715194592440987
0.0,6.414285714285714,-1.309599588815079,-1.8137102988023617,0.5484048928875322
0.0,6.555102040816326,-1.2638549826771313,-1.769497100513473,0.6226692484236057
0.0,6.6959183673469385,-1.2203650840530322,-1.725502964397707,0.6947379839211502
0.0,6.836734693877551,-1.178921057300205,-1.6816437827802402,0.7649818663989001
0.0,6.977551020408163,-1.139341412280188,-1.6377868450057285,0.8337297684403318
0.0,7.118367346938776,-1.1014674939794884,-1.593770511750094,0.9012792691877378
0.0,7.259183673469387,-1.0651598521740522,-1.5494181071146766,0.9679047585427206
0.0,7.4,-1.03029529593244,-1.5045470522477227,1.0338645687359274
0.02040816326530612,0.5,-1.078076616734137,0.4812134774574925,0.345351457548347
0.02040816326530612,0.6408163265306123,-1.1148978432086785,0.3721268694106183,0.32327788600590085
0.02040816326530612,0.7816326530612245,-1.1533272313910488,0.267393682443655,0.29955333941501616
0.02040816326530612,0.9224489795918367,-1.193510310133105,0.16652423135786662,0.27412844599383407
0.02040816326530612,1.063265306122449,-1.2356128242720825,0.06902082898587572,0.24692302280402503
0.02040816326530612,1.2040816326530612,-1.279824641319861,-0.02558959869572915,0.21782674592873036
0.02040816326530612,1.3448979591836734,-1.326364607043442,-0.11774465302135766,0.18669806916863715
0.02040816326530612,1.4857142857142858,-1.3754866384348143,-0.20784483297481485,0.15336145267060522
0.02040816326530612,1.626530612244898,-1.427487442488211,-0.2962558019015887,0.11760279889751563
0.02040816326530612,1.76734693877551,-1.4827163884405234,-0.38331208395251354,0.07916277858339017
0.02040816326530612,1.9081632653061225,-1.5415882549532773,-0.4693210579902174,0.03772752189959581
0.02040816326530612,2.0489795918367344,-1.604599840699672,-0.5545666412255675,-0.0070842011781312424
0.02040816326530612,2.1897959183673468,-1.672351785521265,-0.6393123797824973,-0.05573862327081596
0.02040816326530612,2.330612244897959,-1.7455774013157581,-0.7238037236962601,-0.10881152258398875
0.02040816326530612,2.4714285714285715,-1.8251807883208424,-0.808269244202737,-0.16702295058394517
0.02040816326530612,2.6122448979591835,-1.9122867076352275,-0.8929204887819991,-0.23128744975736415
0.02040816326530612,2.753061224489796,-2.008303537501753,-0.9779500747165145,-0.3027886751557942
0.02040816326530612,2.8938775510204082,-2.114994737002738,-1.0635272287558235,-0.3830941064624811
0.02040816326530612,3.03469387755102,-2.2345325647803236,-1.1497899161638212,-0.4743385242182483
0.02040816326530612,3.1755102040816325,-2.3694342953471024,-1.2368320922841372,-0.579532260476239
0.02040816326530612,3.316326530612245,-2.5220360397612605,-1.3246835180491305,-0.7031126645143398
0.02040816326530612,3.457142857142857,-2.692360852473906,-1.4132799773116462,-0.8520104521759697
0.02040816326530612,3.5979591836734692,-2.871008486251859,-1.5024195443312194,-1.037941994711709
0.02040816326530612,3.7387755102040816,-3.021695186346208,-1.5917010742580502,-1.2831215328981076
0.02040816326530612,3.8795918367346935,-3.0721515414874885,-1.6804414058883117,-1.6380944227317058
0.02040816326530612,4.020408163265306,-2.986001004875183,-1.7675736676851839,-2.263812523100075
0.02040816326530612,4.161224489795918,-2.8213978401317985,-1.851538905138569,-3.197165550813275
0.02040816326530612,4.302040816326531,-2.643078111779002,-1.930209123047797,-2.003440284285816
0.02040816326530612,4.442857142857143,-2.4774684337407877,-2.000909134760368,-1.4583722946118316
0.02040816326530612,4.5836734693877546,-2.3300719165580195,-2.0606331993475413,-1.1137782681811061
0.02040816326530612,4.724489795918367,-2.199809491462667,-2.1065183290320015,-0.8593997003185313
0.02040816326530612,4.865306122448979,-2.084183874931408,-2.1365068237146687,-0.6561592177116546
0.02040816326530612,5.006122448979592,-1.9807526706950311,-2.149941381703333,-0.4857697468575673
0.02040816326530612,5.146938775510204,-1.8874605266223474,-2.1477699274901947,-0.33820330550989486
0.02040816326530612,5.2877551020408164,-1.8026510234319018,-2.1322337185391755,-0.2073629763694375
0.02040816326530612,5.428571428571429,-1.7250026924825772,-2.1062286173493727,-0.08926118795840107
0.02040816326530612,5.56938775510204,-1.6534587248494454,-2.072667975556677,0.01885691590189478
0.02040816326530612,5.710204081632653,-1.5871676398333368,-2.034065955784622,0.1189779451033129
0.02040816326530612,5.851020408163265,-1.525436948289056,-1.992371664090567,0.2125852113841654
0.02040816326530612,5.9918367346938775,-1.467697902061601,-1.948976493715077,0.3008189992455351
0.02040816326530612,6.13265306122449,-1.4134788473332318,-1.904803546802058,0.3845782555790694
0.02040816326530612,6.273469387755102,-1.3623850324895899,-1.860417227978214,0.46458762109011
0.02040816326530612,6.414285714285714,-1.314083206342121,-1.8161225713782045,0.5414431086234212
0.02040816326530612,6.555102040816326,-1.2682897712134225,-1.7720442254962765,0.6156445386012933
0.02040816326530612,6.6959183673469385,-1.224761585731238,-1.7281852182377415,0.6876186814622341
0.02040816326530612,6.836734693877551,-1.1832887583320904,-1.684468974181555,0.7577366820014458
0.02040816326530612,6.977551020408163,-1.1436889481675296,-1.6407688854608502,0.8263270229518918
0.02040816326530612,7.118367346938776,-1.1058028186115996,-1.5969284283699001,0.8936860976435568
0.02040816326530612,7.259183673469387,-1.0694903792394193,-1.552775271717169,0.9600863741721357
0.02040816326530612,7.4,-1.0346280194441386,-1.5081306733462185,1.025783450079298
0.04081632653061224,0.5,-1.0779870538783793,0.4814681881964697,0.34540557169161523
0.04081632653061224,0.6408163265306123,-1.1147683943509612,0.3724702127475734,0.32335796405357203
0.04081632653061224,0.7816326530612245,-1.153151196841324,0.267828414680254,0.2996645265949873
0.04081632653061224,0.9224489795918367,-1.19328047351832,0.16705245679003147,0.2742763207383685
0.04081632653061224,1.063265306122449,-1.2353212352388057,0.06964455228135331,0.24711374864074542
0.04081632653061224,1.2040816326530612,-1.2794623809988728,-0.02486813407011275,0.21806724648798623
0.04081632653061224,1.3448979591836734,-1.3259215192677525,-0.1169227522532315,0.18699623498982912
0.04081632653061224,1.4857142857142858,-1.3749510077873095,-0.20691920984368095,0.153726392324041
0.04081632653061224,1.626530612244898,-1.4268455961012403,-0.2952224784009975,0.11804515164017161
0.04081632653061224,1.76734693877551,-1.48195219156335,-0.382166310960733,0.07969511274660265
0.04081632653061224,1.9081632653061225,-1.540682459937142,-0.4680572444587686,0.03836485299216175
0.04081632653061224,2.0489795918367344,-1.603529233941871,-0.5531782867867476,-0.006323722520847424
0.04081632653061224,2.1897959183673468,-1.6710880557179226,-0.637792008323894,-0.05483277927025961
0.04081632653061224,2.330612244897959,-1.744085624240632,-0.7221428193295042,-0.10773273742315041
0.04081632653061224,2.4714285714285715,-1.8234173908018696,-0.8064581959262572,-0.1657364590336551
0.04081632653061224,2.6122448979591835,-1.9101967519684964,-0.890948556169854,-0.22974862730895346
0.04081632653061224,2.753061224489796,-2.0058172165444095,-0.9758053929152163,-0.300939022662912
