sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.0,0.5,-1.0781662257428115,0.3747891734978306,0.33919571964690604
0.0,0.6408163265306123,-1.115027372584716,0.25268226125155285,0.31599923495576965
0.0,0.7816326530612245,-1.1535033935147103,0.13460104473810275,0.29113139574983754
0.0,0.9224489795918367,-1.1937403370056827,0.019920700966769782,0.26452740546105963
0.0,1.063265306122449,-1.235904685853556,-0.09200793827781702,0.23609116984748216
0.0,1.2040816326530612,-1.280187281387948,-0.20182390524739682,0.20569533336227772
0.0,1.3448979591836734,-1.326808213698164,-0.3101471826427313,0.17317949224964233
0.0,1.4857142857142858,-1.3760229683408691,-0.4175812351866913,0.13834658928432128
0.0,1.626530612244898,-1.4281302221741596,-0.5247210951246515,0.1009573074168902
0.0,1.76734693877551,-1.4834818229864806,-0.6321645025544144,0.06072204037195928
0.0,1.9081632653061225,-1.5424956849205895,-0.7405251465054246,0.01728975861337266
0.0,2.0489795918367344,-1.6056726034908928,-0.8504477289516589,-0.029767346417550015
0.0,2.1897959183673468,-1.673618358861135,-0.9626249525329524,-0.08097512068185854
0.0,2.330612244897959,-1.7470729350545258,-1.0778162938606508,-0.13698730436252465
0.0,2.4714285714285715,-1.826949163579644,-1.1968678946153195,-0.19862830172224144
0.0,2.6122448979591835,-1.9143832832060586,-1.320730859567981,-0.26695596972367763
0.0,2.753061224489796,-2.010798690497003,-1.4504704781041737,-0.3433566687371303
0.0,2.8938775510204082,-2.117977963847804,-1.5872466750653749,-0.4296946642704777
0.0,3.03469387755102,-2.2381155512570894,-1.7322168786932335,-0.5285576849575211
0.0,3.1755102040816325,-2.3737464877588117,-1.886240620414993,-0.6436837546523625
0.0,3.316326530612245,-2.527189233770944,-2.049095722599276,-0.7807584144783118
0.0,3.457142857142857,-2.698302869211965,-2.217576288850059,-0.9490470560012659
0.0,3.5979591836734692,-2.8770428227440195,-2.3814989252584113,-1.1651944905932226
0.0,3.7387755102040816,-3.025516714069609,-2.5181979067547933,-1.463891683030904
0.0,3.8795918367346935,-3.070530567156175,-2.594590410435329,-1.9386671286158585
0.0,4.020408163265306,-2.979330018080498,-2.5912181115954716,-3.0059840069765777
0.0,4.161224489795918,-2.812796001982166,-2.52432590494759,-2.3907120313756964
0.0,4.302040816326531,-2.6344193185666507,-2.427169673093013,-1.653722291019119
0.0,4.442857142857143,-2.4693394827486044,-2.323994874666575,-1.2443378234235414
0.0,4.5836734693877546,-2.3225583602428004,-2.2261416002136984,-0.9579064712808112
0.0,4.724489795918367,-2.1928531848155317,-2.137411522945534,-0.7356419044084392
0.0,4.865306122448979,-2.077698932544638,-2.0583193941209217,-0.5527064436673375
