mode,model,metric,paper_value,unified_value,status,warning
Overflow,M2,permeate_obj,9.53,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M2,retentate_orig,11.62,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M2,retentate_trunc,9.45,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,startup_data,0.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,time_correction,1.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,wls_orig,,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,wls_trunc,98.48,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,mass_obj,17.22,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,permeate_obj,67.99,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,retentate_orig,,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M3,retentate_trunc,13.27,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,startup_data,0.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,time_correction,0.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,wls_orig,,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,wls_trunc,76.47,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,mass_obj,40.66,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,permeate_obj,21.26,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,retentate_orig,,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Overflow,M4,retentate_trunc,14.55,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
