run_id,salt,Lp,B,sigma,obj_mass,obj_perm_conc,obj_ret_conc,obj_perm_cond,obj_ret_cond,WSSE_warm_start
MC2.05.07.24_NaCl,NaCl,9.95338861793553,9.732247231930808,1.0,9.045751092443846,101.22998957645835,4274.041487569087,2453.516733661746,40.20534122499484,4357.27207990546
MC3.07.22.24_SNaCl,NaCl,8.21586191893076,14.679122435486025,0.4505778684894416,90.56394028995716,5.619058492284044,445.7811641120369,417558.20356780157,3.3007998234821576,555.7489414019212
MC4.07.11.24_SNaCl,NaCl,7.785955233445886,2.0235914766214718,0.0,89.92485508846804,539.7299607444895,9051.68465885583,472.95940323214353,85.43523339266295,9536.21785981401
MC5.07.23.24_NaCl,NaCl,10.023010951593406,3.698282804252679,1.0,42.46182803886563,229.25610157298553,5695.746734526731,150.5031821113548,53.173429064396466,5793.633326666799
MC5.07.23.24_SNaCl,NaCl,9.445208230135885,3.0651658744362815,1.0,57.974552722200364,236.0978656131562,4628.5234995069,114.97959894520324,42.78075771278584,4763.593455427278
MC5.07.23.24_S2NaCl,NaCl,7.380618293492061,10.144693973991615,0.0,69.28307993125162,51.56232079829582,741.7003916014871,15741.614510474346,5.345663993317392,829.6245317376254
MC2.05.07.24_CaCl2,CaCl2,4.000431116566463,0.5093721041000184,1.0,847.3807199616775,784.3835316892643,5080.191073399135,611.8442908900022,46.49789757975633,6717.1364740938525
MC3.07.11.24_SCaCl2,CaCl2,5.533218350671817,9.109847049454086,1.0,188.17451179771086,67.39148916212534,3702.1410092875103,341.7348922490728,33.394753697686696,4079.67277398063
MC3.07.12.24_S2CaCl2,CaCl2,4.63008100740254,30.0,1.0,159.23324327837858,76.40649474339878,8616.790416504253,299.9371625604216,74.88715440029416,9251.670001633327
MC2.05.21.24_LaCl3,LaCl3,2.491932263197265,0.3133500045845733,1.0,1118.3375868694563,75.3993740220828,16569.12674210765,447.4232803639164,38.09036608209663,17711.168478074025
MC4.07.11.24_SLaCl3,LaCl3,2.7758166376792954,0.171510512400045,1.0,1072.497724736265,79.68237802209056,20245.36630530838,339.1298956794811,38.71865342465273,21345.141324846503
