dataset_id,metric,unified_value
DATA1_511.12,objective,14654.457932454803
DATA1_511.12,theta.Lp,2.2621347739037305
DATA1_511.12,theta.B,1e-06
DATA1_511.12,theta.sigma_logit,19.996499900925954
DATA1_511.12,theta.sigma,0.9989999979357562
DATA2_270511.123,objective,9105.55264061191
DATA2_270511.123,theta.Lp,7.541911740948931
DATA2_270511.123,theta.beta_0,50.0
DATA2_270511.123,theta.beta_1,0.5075338473768805
DATA2_270511.123,theta.sigma,0.001
DATA2_270611.123,objective,6697.053028702141
DATA2_270611.123,theta.Lp,7.137485637217477
DATA2_270611.123,theta.beta_0,1.000001453000537
DATA2_270611.123,theta.beta_1,0.9683187251231806
DATA2_270611.123,theta.sigma,0.999
