B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
1e-06,0.366,-0.625003069711143,1.87863622871011,3.03585663591653
1e-06,0.507918367346939,-0.691309647739907,1.88286831088961,2.97696599982676
1e-06,0.649836734693878,-0.756919664299365,1.88509619048644,2.9174295551494
1e-06,0.791755102040816,-0.821961700951142,1.88645589016181,2.85716639417136
1e-06,0.933673469387755,-0.886573465897005,1.88736605984945,2.79608773981045
1e-06,1.07559183673469,-0.950893578582783,1.88801471965334,2.73409265062051
1e-06,1.21751020408163,-1.01505240187052,1.88849839198117,2.6710656778948
1e-06,1.35942857142857,-1.07916180268353,1.88887160358489,2.60687474559058
1e-06,1.50134693877551,-1.1433032870632,1.88916744456346,2.54136875507132
1e-06,1.64326530612245,-1.20751371333877,1.88940713961268,2.47437468365795
1e-06,1.78518367346939,-1.27176760452779,1.88960491345958,2.40569399054672
1e-06,1.92710204081633,-1.33595501660369,1.8897706435909,2.33509812498211
1e-06,2.06902040816327,-1.39985408190457,1.88991139167318,2.26232289092637
1e-06,2.2109387755102,-1.46309801455662,1.89003233066549,2.18706135414471
1e-06,2.35285714285714,-1.52513793584049,1.89013732898427,2.10895491409582
1e-06,2.49477551020408,-1.58520593253979,1.89022933130383,2.02758203770633
1e-06,2.63669387755102,-1.6422876316065,1.89031061410926,1.94244411622991
1e-06,2.77861224489796,-1.69512005464014,1.89038296155437,1.85294786178171
1e-06,2.9205306122449,-1.74223617119039,1.89044778913438,1.75838397928164
1e-06,3.06244897959184,-1.7820770870337,1.89050623233041,1.65790267616862
1e-06,3.20436734693878,-1.81317853343132,1.8905592112144,1.55048941816781
1e-06,3.34628571428571,-1.83440697027613,1.89060747823877,1.43495169762164
1e-06,3.48820408163265,-1.84518273528065,1.89065165405678,1.30994728869758
1e-06,3.63012244897959,-1.84561009761602,1.89069225469405,1.17413665825765
1e-06,3.77204081632653,-1.83646015347031,1.89072971238293,1.02667870097818
1e-06,3.91395918367347,-1.81901416482339,1.89076439169676,0.868629229236848
1e-06,4.05587755102041,-1.79483132079896,1.89079660215801,0.706477096705593
1e-06,4.19779591836735,-1.76552041912737,1.8908266081745,0.559209890227536
1e-06,4.33971428571429,-1.73257013770665,1.89085463693166,0.463885835873972
1e-06,4.48163265306122,-1.69725424971503,1.89088088470687,0.456876807456188
1e-06,4.62355102040816,-1.66060033830776,1.89090552195789,0.532992621135875
1e-06,4.7654693877551,-1.62340000741631,1.89092869744826,0.652298142941495
1e-06,4.90738775510204,-1.58624014674135,1.89095054161413,0.781123078945219
1e-06,5.04930612244898,-1.54954089102438,1.89097116932762,0.903725996568827
1e-06,5.19122448979592,-1.51359224137018,1.89099068217772,1.01516468306303
1e-06,5.33314285714286,-1.47858568624935,1.89100917036295,1.11494733148922
1e-06,5.4750612244898,-1.44463982548608,1.89102671427003,1.20407205861878
1e-06,5.61697959183673,-1.41182033055995,1.89104338579708,1.28388655500342
1e-06,5.75889795918367,-1.38015507987592,1.89105924946776,1.35569254128447
1e-06,5.90081632653061,-1.3496454352727,1.89107436337388,1.42063020128608
1e-06,6.04273469387755,-1.32027453959782,1.89108877997613,1.4796626932756
1e-06,6.18465306122449,-1.29201334189755,1.89110254678698,1.53359323243421
